State,Ten-Year Age Groups,Year,Deaths,Population,Crude Rate
Alabama,< 1 year,1999,606,58787,1030.8
Alabama,< 1 year,2000,596,59101,1008.4
Alabama,< 1 year,2001,567,61537,921.4
Alabama,< 1 year,2002,539,58963,914.1
Alabama,< 1 year,2003,519,58021,894.5
Alabama,< 1 year,2004,516,58927,875.7
Alabama,< 1 year,2005,568,59424,955.8
Alabama,< 1 year,2006,571,60823,938.8
Alabama,< 1 year,2007,641,62907,1019
Alabama,< 1 year,2008,612,63816,959
Alabama,< 1 year,2009,517,61793,836.7
Alabama,< 1 year,2010,523,60056,870.9
Alabama,< 1 year,2011,487,59427,819.5
Alabama,< 1 year,2012,523,60523,864.1
Alabama,< 1 year,2013,501,58439,857.3
Alabama,< 1 year,2014,516,57854,891.9
Alabama,< 1 year,2015,495,58017,853.2
Alabama,< 1 year,2016,537,58269,921.6
Alabama,< 1 year,2017,434,57902,749.5
Alabama,< 1 year,2018,405,56739,713.8
Alabama,< 1 year,2019,449,56901,789.1
Alabama,1-4 years,1999,121,236153,51.2
Alabama,1-4 years,2000,97,236891,40.9
Alabama,1-4 years,2001,98,235087,41.7
Alabama,1-4 years,2002,102,237083,43
Alabama,1-4 years,2003,96,237183,40.5
Alabama,1-4 years,2004,106,237043,44.7
Alabama,1-4 years,2005,87,237017,36.7
Alabama,1-4 years,2006,103,236399,43.6
Alabama,1-4 years,2007,76,237393,32
Alabama,1-4 years,2008,93,241026,38.6
Alabama,1-4 years,2009,104,243619,42.7
Alabama,1-4 years,2010,80,244901,32.7
Alabama,1-4 years,2011,99,244478,40.5
Alabama,1-4 years,2012,93,244744,38
Alabama,1-4 years,2013,83,238665,34.8
Alabama,1-4 years,2014,73,236851,30.8
Alabama,1-4 years,2015,78,234956,33.2
Alabama,1-4 years,2016,74,234296,31.6
Alabama,1-4 years,2017,93,235652,39.5
Alabama,1-4 years,2018,89,236464,37.6
Alabama,1-4 years,2019,113,237456,47.6
Alabama,5-14 years,1999,184,633128,29.1
Alabama,5-14 years,2000,138,635597,21.7
Alabama,5-14 years,2001,161,631141,25.5
Alabama,5-14 years,2002,150,627640,23.9
Alabama,5-14 years,2003,133,625790,21.3
Alabama,5-14 years,2004,128,623782,20.5
Alabama,5-14 years,2005,127,621478,20.4
Alabama,5-14 years,2006,125,625448,20
Alabama,5-14 years,2007,121,626420,19.3
Alabama,5-14 years,2008,125,626185,20
Alabama,5-14 years,2009,115,626936,18.3
Alabama,5-14 years,2010,138,627884,22
Alabama,5-14 years,2011,125,626883,19.9
Alabama,5-14 years,2012,113,627468,18
Alabama,5-14 years,2013,117,623912,18.8
Alabama,5-14 years,2014,129,621504,20.8
Alabama,5-14 years,2015,112,616001,18.2
Alabama,5-14 years,2016,96,609998,15.7
Alabama,5-14 years,2017,116,609744,19
Alabama,5-14 years,2018,106,608395,17.4
Alabama,5-14 years,2019,126,608466,20.7
Alabama,15-24 years,1999,752,633971,118.6
Alabama,15-24 years,2000,708,631445,112.1
Alabama,15-24 years,2001,706,640607,110.2
Alabama,15-24 years,2002,722,643561,112.2
Alabama,15-24 years,2003,698,648638,107.6
Alabama,15-24 years,2004,785,651844,120.4
Alabama,15-24 years,2005,727,657480,110.6
Alabama,15-24 years,2006,840,663242,126.7
Alabama,15-24 years,2007,833,668572,124.6
Alabama,15-24 years,2008,707,674331,104.8
Alabama,15-24 years,2009,631,678728,93
Alabama,15-24 years,2010,631,678793,93
Alabama,15-24 years,2011,647,681235,95
Alabama,15-24 years,2012,591,676612,87.3
Alabama,15-24 years,2013,616,676183,91.1
Alabama,15-24 years,2014,595,671198,88.6
Alabama,15-24 years,2015,642,663182,96.8
Alabama,15-24 years,2016,741,653876,113.3
Alabama,15-24 years,2017,653,648404,100.7
Alabama,15-24 years,2018,671,640900,104.7
Alabama,15-24 years,2019,623,635707,98
Alabama,25-34 years,1999,893,608323,146.8
Alabama,25-34 years,2000,854,603015,141.6
Alabama,25-34 years,2001,851,588949,144.5
Alabama,25-34 years,2002,912,583671,156.3
Alabama,25-34 years,2003,878,583109,150.6
Alabama,25-34 years,2004,884,583760,151.4
Alabama,25-34 years,2005,947,585831,161.7
Alabama,25-34 years,2006,1057,591061,178.8
Alabama,25-34 years,2007,956,593652,161
Alabama,25-34 years,2008,982,598776,164
Alabama,25-34 years,2009,942,605551,155.6
Alabama,25-34 years,2010,1005,608922,165
Alabama,25-34 years,2011,1037,614507,168.8
Alabama,25-34 years,2012,1026,617757,166.1
Alabama,25-34 years,2013,1041,620984,167.6
Alabama,25-34 years,2014,1006,626387,160.6
Alabama,25-34 years,2015,1069,632726,169
Alabama,25-34 years,2016,1173,637487,184
Alabama,25-34 years,2017,1178,640302,184
Alabama,25-34 years,2018,1148,643540,178.4
Alabama,25-34 years,2019,1158,647229,178.9
Alabama,35-44 years,1999,1887,686932,274.7
Alabama,35-44 years,2000,1836,685512,267.8
Alabama,35-44 years,2001,1845,678003,272.1
Alabama,35-44 years,2002,1806,666137,271.1
Alabama,35-44 years,2003,1889,655351,288.2
Alabama,35-44 years,2004,1870,647811,288.7
Alabama,35-44 years,2005,1788,642755,278.2
Alabama,35-44 years,2006,1871,642706,291.1
Alabama,35-44 years,2007,1776,638956,278
Alabama,35-44 years,2008,1680,632634,265.6
Alabama,35-44 years,2009,1746,626649,278.6
Alabama,35-44 years,2010,1625,619501,262.3
Alabama,35-44 years,2011,1579,608252,259.6
Alabama,35-44 years,2012,1691,606667,278.7
Alabama,35-44 years,2013,1621,607139,267
Alabama,35-44 years,2014,1733,605590,286.2
Alabama,35-44 years,2015,1680,602496,278.8
Alabama,35-44 years,2016,1830,595713,307.2
Alabama,35-44 years,2017,1766,591795,298.4
Alabama,35-44 years,2018,1820,592302,307.3
Alabama,35-44 years,2019,1794,593306,302.4
Alabama,45-54 years,1999,3157,585651,539.1
Alabama,45-54 years,2000,3265,600209,544
Alabama,45-54 years,2001,3495,623455,560.6
Alabama,45-54 years,2002,3574,629906,567.4
Alabama,45-54 years,2003,3738,639357,584.6
Alabama,45-54 years,2004,3743,648373,577.3
Alabama,45-54 years,2005,3924,659231,595.2
Alabama,45-54 years,2006,4020,671910,598.3
Alabama,45-54 years,2007,3957,680795,581.2
Alabama,45-54 years,2008,4158,688154,604.2
Alabama,45-54 years,2009,4079,692734,588.8
