State,Ten-Year Age Groups,Gender,Year,Deaths,Population,Crude Rate
Alabama,< 1 year,Female,1999,246,28712,856.8
Alabama,< 1 year,Female,2000,251,28872,869.4
Alabama,< 1 year,Female,2001,238,30131,789.9
Alabama,< 1 year,Female,2002,243,29134,834.1
Alabama,< 1 year,Female,2003,223,28339,786.9
Alabama,< 1 year,Female,2004,194,29033,668.2
Alabama,< 1 year,Female,2005,264,29212,903.7
Alabama,< 1 year,Female,2006,236,29848,790.7
Alabama,< 1 year,Female,2007,288,30948,930.6
Alabama,< 1 year,Female,2008,263,31542,833.8
Alabama,< 1 year,Female,2009,240,30462,787.9
Alabama,< 1 year,Female,2010,237,29591,800.9
Alabama,< 1 year,Female,2011,195,29058,671.1
Alabama,< 1 year,Female,2012,248,29592,838.1
Alabama,< 1 year,Female,2013,224,28555,784.5
Alabama,< 1 year,Female,2014,227,28346,800.8
Alabama,< 1 year,Female,2015,216,28422,760
Alabama,< 1 year,Female,2016,242,28485,849.6
Alabama,< 1 year,Female,2017,198,28297,699.7
Alabama,< 1 year,Female,2018,167,27728,602.3
Alabama,< 1 year,Female,2019,203,27821,729.7
Alabama,< 1 year,Male,1999,360,30075,1197
Alabama,< 1 year,Male,2000,345,30229,1141.3
Alabama,< 1 year,Male,2001,329,31406,1047.6
Alabama,< 1 year,Male,2002,296,29829,992.3
Alabama,< 1 year,Male,2003,296,29682,997.2
Alabama,< 1 year,Male,2004,322,29894,1077.1
Alabama,< 1 year,Male,2005,304,30212,1006.2
Alabama,< 1 year,Male,2006,335,30975,1081.5
Alabama,< 1 year,Male,2007,353,31959,1104.5
Alabama,< 1 year,Male,2008,349,32274,1081.4
Alabama,< 1 year,Male,2009,277,31331,884.1
Alabama,< 1 year,Male,2010,286,30465,938.8
Alabama,< 1 year,Male,2011,292,30369,961.5
Alabama,< 1 year,Male,2012,275,30931,889.1
Alabama,< 1 year,Male,2013,277,29884,926.9
Alabama,< 1 year,Male,2014,289,29508,979.4
Alabama,< 1 year,Male,2015,279,29595,942.7
Alabama,< 1 year,Male,2016,295,29784,990.5
Alabama,< 1 year,Male,2017,236,29605,797.2
Alabama,< 1 year,Male,2018,238,29011,820.4
Alabama,< 1 year,Male,2019,246,29080,845.9
Alabama,1-4 years,Female,1999,54,115715,46.7
Alabama,1-4 years,Female,2000,34,116061,29.3
Alabama,1-4 years,Female,2001,37,115083,32.2
Alabama,1-4 years,Female,2002,44,116056,37.9
Alabama,1-4 years,Female,2003,47,116271,40.4
Alabama,1-4 years,Female,2004,41,116238,35.3
Alabama,1-4 years,Female,2005,37,116269,31.8
Alabama,1-4 years,Female,2006,42,115932,36.2
Alabama,1-4 years,Female,2007,32,116224,27.5
Alabama,1-4 years,Female,2008,33,118239,27.9
Alabama,1-4 years,Female,2009,38,119487,31.8
Alabama,1-4 years,Female,2010,30,120101,25
Alabama,1-4 years,Female,2011,49,119896,40.9
Alabama,1-4 years,Female,2012,43,120004,35.8
Alabama,1-4 years,Female,2013,31,116743,26.6
Alabama,1-4 years,Female,2014,33,116244,28.4
Alabama,1-4 years,Female,2015,38,115443,32.9
Alabama,1-4 years,Female,2016,28,115098,24.3
Alabama,1-4 years,Female,2017,40,115883,34.5
Alabama,1-4 years,Female,2018,32,116211,27.5
Alabama,1-4 years,Female,2019,45,116821,38.5
Alabama,1-4 years,Male,1999,67,120438,55.6
Alabama,1-4 years,Male,2000,63,120830,52.1
Alabama,1-4 years,Male,2001,61,120004,50.8
Alabama,1-4 years,Male,2002,58,121027,47.9
Alabama,1-4 years,Male,2003,49,120912,40.5
Alabama,1-4 years,Male,2004,65,120805,53.8
Alabama,1-4 years,Male,2005,50,120748,41.4
Alabama,1-4 years,Male,2006,61,120467,50.6
Alabama,1-4 years,Male,2007,44,121169,36.3
Alabama,1-4 years,Male,2008,60,122787,48.9
Alabama,1-4 years,Male,2009,66,124132,53.2
Alabama,1-4 years,Male,2010,50,124800,40.1
Alabama,1-4 years,Male,2011,50,124582,40.1
Alabama,1-4 years,Male,2012,50,124740,40.1
Alabama,1-4 years,Male,2013,52,121922,42.7
Alabama,1-4 years,Male,2014,40,120607,33.2
Alabama,1-4 years,Male,2015,40,119513,33.5
Alabama,1-4 years,Male,2016,46,119198,38.6
Alabama,1-4 years,Male,2017,53,119769,44.3
Alabama,1-4 years,Male,2018,57,120253,47.4
Alabama,1-4 years,Male,2019,68,120635,56.4
Alabama,5-14 years,Female,1999,84,308159,27.3
Alabama,5-14 years,Female,2000,46,309187,14.9
Alabama,5-14 years,Female,2001,65,307375,21.1
Alabama,5-14 years,Female,2002,59,306012,19.3
Alabama,5-14 years,Female,2003,51,305540,16.7
Alabama,5-14 years,Female,2004,58,304636,19
Alabama,5-14 years,Female,2005,51,303571,16.8
Alabama,5-14 years,Female,2006,55,305683,18
Alabama,5-14 years,Female,2007,53,306256,17.3
Alabama,5-14 years,Female,2008,58,305970,19
Alabama,5-14 years,Female,2009,52,306626,17
Alabama,5-14 years,Female,2010,60,307127,19.5
Alabama,5-14 years,Female,2011,56,306956,18.2
Alabama,5-14 years,Female,2012,41,307422,13.3
Alabama,5-14 years,Female,2013,46,305878,15
Alabama,5-14 years,Female,2014,50,304690,16.4
Alabama,5-14 years,Female,2015,53,302169,17.5
Alabama,5-14 years,Female,2016,50,298976,16.7
Alabama,5-14 years,Female,2017,50,298740,16.7
Alabama,5-14 years,Female,2018,43,298051,14.4
Alabama,5-14 years,Female,2019,50,298321,16.8
Alabama,5-14 years,Male,1999,100,324969,30.8
Alabama,5-14 years,Male,2000,92,326410,28.2
Alabama,5-14 years,Male,2001,96,323766,29.7
Alabama,5-14 years,Male,2002,91,321628,28.3
Alabama,5-14 years,Male,2003,82,320250,25.6
Alabama,5-14 years,Male,2004,70,319146,21.9
Alabama,5-14 years,Male,2005,76,317907,23.9
Alabama,5-14 years,Male,2006,70,319765,21.9
