"Year","Total","Male","Female"
1999,74.2066235398926,70.9434471651282,77.3414887623539
2000,74.3973023879164,71.039944645113,77.6512762796145
2001,74.4274429450176,71.330759090441,77.3944496203516
2002,74.3571318688427,71.3255780703134,77.2756938042991
2003,74.3104173204544,71.2625095177747,77.2764902727522
2004,74.4731527284878,71.4694356011071,77.3837322679448
2005,74.4207933294118,71.5463270930471,77.2072328349567
2006,74.5128194569831,71.4446154623266,77.5315745438018
2007,74.8343005765511,71.7844561510615,77.820682695543
2008,74.900625444132,71.9991338260431,77.7364801380424
2009,75.2384852936048,72.420778692202,77.9773603427348
2010,75.2946740294266,72.5523911842133,77.9714795314342
2011,75.3061726117148,72.4441172517606,78.12854878215
2012,75.3467909458518,72.6502179169539,77.9902479344312
2013,75.3162398940466,72.3667664542788,78.2380218180678
2014,75.5092736264825,72.7885415993184,78.1677793136842
2015,75.2855394360828,72.4439646333468,78.0963993787842
2016,75.1504858121195,72.2538466324399,78.0215712730866
2017,75.3543991134393,72.4074862662557,78.2943102139946
2018,75.3423942225807,72.349998343386,78.3256544072378
2019,75.5376108948376,72.5149258884294,78.5543142413991
