"Year","Total","Male","Female"
1999,77.1032591036455,74.8540796617732,79.5337430256256
2000,76.6805319208702,74.0282094919157,79.5630871444835
2001,77.00128038712,74.4155375842061,79.7999958790844
2002,77.5501163945041,75.0150408607506,80.3848865476977
2003,77.0083135720093,74.6851224885041,79.5383171510182
2004,78.1773792179683,75.592549343061,80.9993161124868
2005,78.3409688369683,75.9040792905054,80.9665179601924
2006,77.8215821120154,75.7045434271302,80.0702033520014
2007,77.9085098037349,75.5243206617285,80.4964154044286
2008,78.3172461449286,76.1003998895556,80.7644719715671
2009,78.2772798936532,76.3188672804421,80.3827960514301
2010,78.3734733213746,75.9693961011859,81.023021658814
2011,78.4852880381533,76.0941361466134,81.1761269737669
2012,78.6648353588824,76.4285441486463,81.1490955864643
2013,78.7555173662607,76.7973160995657,80.9565509749546
2014,78.6907347636063,76.1515641127085,81.5548737746145
2015,78.3547698883359,76.2051129259405,80.7750639143135
2016,78.2529769714727,75.7890449603689,81.0504829479692
2017,78.8273134463212,76.4282228386387,81.5287318493291
2018,79.2186531350408,76.9170693156075,81.7848542725551
2019,79.0710078202213,76.9993749455364,81.4320415673412
