"Year","Total","Male","Female"
1999,77.3581808828116,74.4106944743081,80.3660567231952
2000,77.5387290185683,74.7173296287659,80.4093666167662
2001,77.6433163998646,74.8125571045365,80.5248622565654
2002,77.4737671264333,74.5716163252659,80.4468804759099
2003,77.6803560624349,74.9271448086912,80.4910651853494
2004,78.1030441997922,75.4104013132286,80.8320107930202
2005,77.8092981783927,75.1488918773026,80.5286926985044
2006,78.1072996945003,75.5111346393384,80.7569578255532
2007,78.7523814219764,76.1606576657992,81.3949128222646
2008,79.1803891245625,76.5712763126383,81.8235486431778
2009,79.5628048188714,77.1067768796868,82.0216372005897
2010,79.7131759630171,77.1211006320032,82.3390545835353
2011,79.665508997675,77.2794943318775,82.0892893148429
2012,79.7308281651524,77.2395817816977,82.2561752938561
2013,79.8454374008113,77.4406676257586,82.2859270718888
2014,80.0292501560087,77.6458058692324,82.452164941847
2015,79.8454404230643,77.4241043445834,82.3177803480408
2016,79.6432538184725,77.018845859137,82.3468678250443
2017,79.819362996149,77.2553762133865,82.4700327524753
2018,79.8530743970696,77.1630030626771,82.647012017743
2019,80.0658193787519,77.3897816528146,82.8484749493195
