"Year","Total","Male","Female"
1999,74.9537472282639,71.7244427783579,78.16037672749
2000,74.8565314204027,71.7988367434264,77.8812537281308
2001,75.0851886187341,72.0527986379778,78.0827490508328
2002,74.795646173339,71.8969450775183,77.6564000745202
2003,75.1507972395083,72.1037430445406,78.1982938193912
2004,75.2904725148315,72.5124612574712,78.0255411004583
2005,75.3211764393517,72.3208040573665,78.3440816636587
2006,75.5266610663233,72.5695475840608,78.4790489586225
2007,75.6881274742719,72.9634795832649,78.4031944482409
2008,75.3662736066615,72.5925604425756,78.154605888876
2009,75.7990412637305,72.9556833698485,78.6632529414902
2010,76.0463722247097,73.2806559451438,78.8192900678111
2011,75.8871736988139,73.1434508972096,78.6620663344155
2012,75.8425625332916,73.2784098488259,78.4299951568848
2013,75.8800480477534,73.2547897911269,78.5419858366259
2014,75.9841039686384,73.3942975690801,78.5864938079422
2015,75.7043169530879,73.0067770605612,78.4577842682711
2016,75.7746178710507,73.1103318323538,78.4921131499442
2017,75.6039196258259,73.1256744019916,78.1124355358932
2018,75.9996985708109,73.3625256250859,78.6724814698893
2019,76.0677978859575,73.3079077888311,78.8889694849235
