"Year","Total","Male","Female"
1999,78.084773263166,75.629848642888,80.4377796017199
2000,78.3742145047661,75.8868794302563,80.7503583334114
2001,78.3881249863299,75.9562813070101,80.717562730331
2002,78.5963351012059,76.1254950591085,80.9696679620529
2003,78.6203146697655,76.1522898129527,81.0012548177574
2004,79.1829261987222,76.7380293565211,81.5291559279558
2005,79.2213034242194,76.7572865418911,81.6020815782023
2006,79.4470896893092,76.9766449419733,81.8364425085986
2007,79.9249477484077,77.4622371965381,82.303551227668
2008,80.2428117805114,77.8839548650191,82.5123669441986
2009,80.6579798208202,78.2284891648661,82.9894573718821
2010,80.9839704194603,78.6469812765755,83.2185659294808
2011,80.973033386761,78.638244906459,83.2163003444638
2012,81.1770761456586,78.8227847143113,83.444947805311
2013,81.1640442735714,78.7459907334173,83.5090736802191
2014,81.6228392292954,79.2055655713885,83.9631783165642
2015,81.2674041992194,78.8811778360354,83.5972532242041
2016,81.3682600802812,78.9416688963049,83.7474881618083
2017,81.3575569394841,78.9411235096831,83.7353475324078
2018,81.5800209622237,79.0901263760281,84.0372554661697
2019,81.7375938306934,79.1597445355161,84.2941933639714
