"Year","Total","Male","Female"
1999,78.1101701721613,75.7520482501315,80.3490066861259
2000,78.3915487017397,76.1139860052847,80.5462331618794
2001,78.2716223416044,76.1050814312225,80.3443815611236
2002,78.1607944389203,75.740689195638,80.512208786698
2003,78.3107363664507,76.083138306408,80.4651280326278
2004,79.1236749077499,76.7191320426236,81.4399570218154
2005,78.9173662107478,76.5890989233725,81.1809126329587
2006,79.449348113846,77.321823810291,81.4984964516654
2007,79.6978180247051,77.4033436091078,81.9248263695997
2008,79.5058506342651,77.2558439591428,81.704613079841
2009,79.9139251762964,77.69616159563,82.0684859787034
2010,80.2519534041489,78.1321707198184,82.3037553680432
2011,80.1968527460696,78.0117522618352,82.3355138959467
2012,80.4144884845417,78.2342598155094,82.5604747120239
2013,80.5498700374871,78.4419305451083,82.6262636269778
2014,80.3886360002653,78.2266278220602,82.5354530381367
2015,80.368224085211,78.2304007130229,82.5033222869634
2016,80.2275769351855,77.8683874220977,82.6254689951672
2017,80.409801276197,78.2888518548423,82.5415402261021
2018,80.5797930642837,78.2672811254776,82.9369129648903
2019,80.6300793043178,78.4434900016956,82.8618013479133
