"Year","Total","Male","Female"
1999,78.4574729255556,75.6727256851334,80.99357679574
2000,78.2817513174811,75.574872214918,80.7693845832064
2001,78.637174884787,76.2325482251986,80.7988563309229
2002,78.7403925229374,76.0136656735515,81.2457146189942
2003,79.2024689745266,76.5811280887821,81.6061420452655
2004,79.4672889254781,76.9108659246795,81.7850970990301
2005,79.5944561096332,77.0781056907083,81.9048058042379
2006,79.8039964356122,77.2602865220703,82.1402410349955
2007,80.2230602903927,77.7917238324396,82.4298131063309
2008,80.4325046251816,77.9558214829722,82.7150782903908
2009,80.6849220621387,78.4396153840787,82.7112847449839
2010,80.8749610830005,78.376547385034,83.1772683829892
2011,80.7378698677654,78.3003572439032,82.9966417149476
2012,80.9530784498381,78.4975933012171,83.2380875836792
2013,80.9918575552449,78.5660400035051,83.2501872902853
2014,81.1084410988221,78.6947084075135,83.3519334158843
2015,80.8243812230577,78.4986947591186,83.0150571967344
2016,80.8505009130194,78.3203234096377,83.2475608575396
2017,80.6073289694645,78.1956529879419,82.9033137907207
2018,80.8200372754448,78.2848277299298,83.25401697969
2019,80.7140760914446,78.0587403943177,83.2898680956095
