"Year","Total","Male","Female"
1999,76.6692574922175,73.7845661248208,79.4101724094493
2000,76.3339076283207,73.741863217322,78.802034561076
2001,76.0957707957512,73.6816476137671,78.3609898267033
2002,76.9740314588965,74.3549871554683,79.4512260970656
2003,76.9124339551288,74.2229623488599,79.5206282473106
2004,77.0522959557998,74.3396115655841,79.6373318163064
2005,77.0529027596543,74.4625019721911,79.5199284938054
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,78.2351888316741,75.792338633527,80.5568714854404
2010,78.3239558430469,75.7513483318766,80.8056123932844
2011,78.3387351389206,76.0033268175587,80.5545180630495
2012,78.5574094980989,76.278103789849,80.744820916535
2013,78.8925086731055,76.4352623391168,81.2463097076717
2014,78.8481033662161,76.4472303479449,81.148665073604
2015,78.4847639475837,75.9649871277321,80.9331661145636
2016,78.4327126064906,75.6268439145314,81.190347640738
2017,78.2817947089893,75.5295759151496,80.9887042158944
2018,78.2212473644005,75.2633730947692,81.1612043407269
2019,78.6007955144139,75.6820036562607,81.4999726676636
