"Year","Total","Male","Female"
1999,71.8929798205081,67.5266014502133,76.1295819412516
2000,72.3482704593417,68.1670700113489,76.3620527908183
2001,72.6191335073943,68.1537592836033,76.9294615901656
2002,NA,NA,NA
2003,NA,NA,NA
2004,73.7292002763978,69.7903792642784,77.4287685326008
2005,73.7370003651333,69.7120595379431,77.5673825910838
2006,74.2411450546593,70.5684757856878,77.6816067492006
2007,74.7748889187525,71.5238604590086,77.7547550379385
2008,75.055481389814,71.5080254628664,78.3753161943303
2009,76.452253132596,72.6902287771523,80.0068946750387
2010,NA,NA,NA
2011,NA,NA,NA
2012,NA,NA,NA
2013,78.5955867109081,75.6833292795693,81.2200638338622
2014,78.7638772779471,76.0906147190591,81.1419547334643
2015,78.6093897545804,75.3138238262704,81.6493280358498
2016,78.3230086660626,74.8862961781209,81.5489546243653
2017,NA,NA,NA
2018,78.8194092806074,75.6972538622031,81.7456870268616
2019,79.2421942732522,75.9353362324721,82.2777927867895
