"Year","Total","Male","Female"
1999,77.3268886683011,74.4553851421438,80.1629639723272
2000,77.441322974907,74.4567490231584,80.4094221886274
2001,77.4463748198974,74.5578451862339,80.3156846653685
2002,77.5866305921891,74.8016159154553,80.3410905250458
2003,77.6991539959194,74.863358649781,80.5172320922208
2004,77.9855674136058,75.2228124669157,80.7277732851705
2005,78.1254412230748,75.2425514823807,81.0020062820474
2006,78.3707080776511,75.5026445706758,81.234891964462
2007,78.7820776737217,75.893172645887,81.6656099022527
2008,78.8997486990607,76.0234634722133,81.7707713556634
2009,79.2959149671176,76.4645395369202,82.1036866970885
2010,79.4221972014214,76.6679372706809,82.1519426027659
2011,79.7617848833043,77.0462308533275,82.451715400934
2012,79.9517309617111,77.323775707411,82.5544753223775
2013,80.0413264109752,77.4838982823794,82.5707231942532
2014,80.0318430990935,77.3752382741476,82.6751845624018
2015,79.9105387575084,77.1442554124738,82.6862364406364
2016,79.7821566508289,77.0525369882868,82.5232577762725
2017,79.7777251453122,77.0452995427887,82.5279470953478
2018,80.0893913700395,77.3743813374932,82.8176617669296
2019,80.2720133830235,77.4989325481942,83.0676049846714
