"Year","Total","Male","Female"
1999,75.1930494730652,72.1074471798026,78.1029946908274
2000,75.0890215098078,72.1721794686239,77.8451972684326
2001,75.2119397596185,72.346858509495,77.9332949646385
2002,75.3338504300419,72.5365595718618,77.9765826762117
2003,75.3913502004107,72.7059879810141,77.9191383766473
2004,75.7878062838227,73.0413848999105,78.3822554417209
2005,76.0237019410419,73.3096359055178,78.6050975589964
2006,76.2895313823859,73.5501694548015,78.8772917802314
2007,76.5825429821415,73.8445543296544,79.1723595033305
2008,76.7573912015475,74.200454300682,79.1630426577602
2009,77.1151106525097,74.5521318017076,79.5182310517515
2010,77.2783538935844,74.7467656308713,79.6681572410447
2011,77.5921445481607,75.2191810964604,79.8191501197501
2012,77.7687158021829,75.3481008511338,80.0701122343579
2013,77.6273502189404,75.1168193193885,80.0180595622523
2014,77.6522872099904,75.1500717920617,80.0442215378309
2015,77.4769104820616,75.0227338952731,79.8387506327909
2016,77.5496954245201,74.9747128009318,80.0403588561624
2017,77.6924229363589,75.1900396360436,80.105617665757
2018,77.7892500934531,75.3042175057448,80.1897892123268
2019,78.0468490343304,75.5256816126233,80.4799260884779
