"Year","Total","Male","Female"
1999,79.8355884516179,76.759420261853,83.1324942956021
2000,80.0696236633398,77.0314479255175,83.3353666374411
2001,80.3614926141892,77.4833984785362,83.3498139335754
2002,80.1451658915566,77.2447096515982,83.18640434611
2003,80.2813695450112,77.1612091459937,83.5773556751858
2004,80.5831877219959,77.4627742547987,83.8115156411472
2005,80.8398867610783,77.8123305722698,83.9417615569967
2006,80.7075856313768,77.8047989139657,83.6807554723689
2007,80.961877062958,77.8965941804745,84.1013249401964
2008,81.4964796631554,78.3785090089553,84.6674404440478
2009,81.1717342471549,77.8634609978098,84.5945091302134
2010,82.0896435697233,78.6767418332953,85.6435430266061
2011,82.0490647344187,78.9896307212509,85.1794489292157
2012,82.0628183170337,78.9859760452726,85.1877753121133
2013,82.0440854173339,78.9925006583173,85.1428229250906
2014,82.2075123196813,79.1822919532612,85.2819093527963
2015,82.0757149391729,79.1842334288581,85.013381365113
2016,82.4532778999544,79.3456806715365,85.6328332302222
2017,82.1147315831558,78.9388210575334,85.3916654200113
2018,82.3632844365105,79.1973792669822,85.6239773090664
2019,82.2702727085448,79.079820194299,85.5555551718179
