"Year","Total","Male","Female"
1999,77.7236575967222,75.2662383143034,80.1964864562165
2000,78.0611863043597,75.987169992465,80.1124701839237
2001,78.0298965227123,75.6712984346615,80.39156091714
2002,78.1685134798023,75.9238705547665,80.4006032235226
2003,77.9301243593268,75.769344155191,80.1101819471062
2004,78.6231052263723,76.3506711373409,80.9369773873378
2005,78.5119775231818,76.2682012948873,80.7918178650537
2006,78.7989760425271,76.5924004650448,81.0436447025426
2007,78.9701496112743,77.2012991663862,80.7273337139106
2008,79.2105492534449,77.2505969533569,81.1532012942426
2009,79.3719967626874,77.2567122450202,81.5034015654904
2010,79.3777099827714,77.2425637008373,81.5422900783206
2011,79.1073669941661,77.0782250743246,81.182796442944
2012,79.3838718081613,77.2731481739382,81.5428471326396
2013,79.09290078247,77.0901371629754,81.1470958304279
2014,79.2228617797721,77.3611479908082,81.1215135758473
2015,79.2412749927096,77.0565143509051,81.5127574430895
2016,79.1811708038906,77.2888131597464,81.133746536983
2017,79.0954649216628,77.0844651574291,81.1823183685982
2018,79.2000858148344,77.0984342716028,81.4117243365514
2019,79.6469755862305,77.7868198250756,81.5785138311147
