"Year","Total","Male","Female"
1999,76.2210327034325,73.3133559133404,78.9641415947676
2000,76.5795933053109,73.7729029993811,79.2079579619832
2001,76.8476128988654,74.0788442571009,79.4417039031841
2002,76.8711102035499,74.0932609737413,79.4902626748125
2003,77.1748349129446,74.513175004547,79.6835369051557
2004,77.6491488450836,75.0589856331905,80.0690322712849
2005,77.6695836502355,75.0721069692599,80.1226624099965
2006,78.0311056636986,75.4228925275415,80.4819183173408
2007,78.4268157319735,75.9030806703988,80.786365595599
2008,78.2463368154618,75.7208076923884,80.6286500667861
2009,78.8152832130823,76.257626826678,81.2216376367032
2010,79.0979983190985,76.5360295299921,81.5115045529681
2011,79.0681262897668,76.5692790765284,81.4334005598116
2012,79.2315654641924,76.6664896881859,81.6691902962847
2013,79.3785577301255,76.8990029235939,81.7413677152868
2014,79.2825688613885,76.7986060292501,81.6560648859799
2015,79.2527610218146,76.7627711420373,81.6486148383236
2016,79.2363063233917,76.6214326664242,81.7835187551589
2017,79.0703346759448,76.4681101210742,81.6097830290269
2018,79.1953233085068,76.5676529771295,81.7753266754926
2019,79.4947732517191,76.8194077813951,82.1145486429262
