"Year","Total","Male","Female"
1999,75.8982901588847,73.1576156164499,78.4883720139583
2000,75.9918996936123,73.275782730593,78.5566803593928
2001,76.2097921413585,73.4262537139882,78.8612090564369
2002,76.3151045299716,73.6613224366222,78.8374128733864
2003,76.3319691956592,73.6224697337876,78.9224199669614
2004,76.8385246607697,74.2561197680187,79.2860882899108
2005,76.6526602621967,74.0694607911582,79.1219150784271
2006,76.8455185011682,74.1495993699292,79.4415377646442
2007,77.463619966729,74.8895113664891,79.9261828312644
2008,77.1497004362597,74.5850109177859,79.6245198431411
2009,77.4449013503689,74.9276432799842,79.8638506360716
2010,77.5269355240036,74.9608568256105,80.0088420965349
2011,77.356618269435,74.833753278925,79.8055820375851
2012,77.3719737679975,74.807799380354,79.8887914084722
2013,77.2244505704382,74.7095160902273,79.7043206963606
2014,77.3523986136628,74.8554976263122,79.804257019266
2015,77.0912643548536,74.6552332870471,79.4994841402583
2016,76.9957224645405,74.2940056334734,79.6999404680232
2017,76.6935827849737,74.0285229109488,79.3734446967129
2018,77.0364353761468,74.519340901052,79.5564078281828
2019,77.1690190749629,74.6003098419981,79.7436264944028
