"Year","Total","Male","Female"
1999,78.13262357102,75.4433744022348,80.6347841505962
2000,78.2686837560681,75.5275702852524,80.8317280384639
2001,78.564635672723,75.9530903381292,80.9942308918889
2002,78.6369342456339,75.9267816821616,81.2157175827429
2003,78.5747304941997,75.9917849478657,81.0209045212782
2004,79.2596083376353,76.6721508063159,81.6854766539457
2005,78.9222334835129,76.3720189619776,81.3312097118745
2006,79.2979151887127,76.8983201625772,81.5622137120965
2007,79.4395439748932,77.0285574215384,81.7144563576407
2008,78.9578557943986,76.5621629295607,81.2564644681418
2009,79.5023906179727,77.1318001306789,81.7725135441961
2010,79.5700047536134,77.1156162645676,81.9428005564213
2011,79.4679032012496,77.119230490144,81.7454996939385
2012,79.5451049697871,77.1714847245341,81.8595236903904
2013,79.4819699908597,77.0225158534386,81.9082983600164
2014,79.4690688831402,77.1282752879535,81.770682874187
2015,79.4387266254126,77.1975344711826,81.6386860687235
2016,79.2934624612765,76.8882800596899,81.6972891023951
2017,79.1115368252786,76.6702403351646,81.562357003496
2018,79.3388451970609,76.9033618646895,81.7929418408863
2019,79.1574186630913,76.626897809357,81.746860426255
