"Year","Total","Male","Female"
1999,77.1401437299193,74.4387330451248,79.7088482420932
2000,77.2992007164347,74.7432605452744,79.719722860062
2001,77.237544280116,74.5776155078461,79.7919459875479
2002,77.2011389246204,74.7180704341448,79.5796985040131
2003,77.5806282053424,75.1597664764732,79.903278031406
2004,77.9167926454707,75.5248169416364,80.2189480984328
2005,77.6647735297426,75.2049698085505,80.0389447208558
2006,77.8504821101344,75.5364573951889,80.0870721410616
2007,78.1282029501843,75.7430106218065,80.4446710877316
2008,78.0269692677028,75.5972427814993,80.4077335721003
2009,78.552010104687,76.1731118165824,80.8684679766279
2010,78.5608093744866,75.9443191494822,81.1555056258325
2011,78.4256900070465,76.1556437209926,80.6560339015782
2012,78.5248481692094,76.1565875434525,80.8640296939884
2013,78.6137456819661,76.3981532998407,80.7964858508146
2014,78.574431589127,76.1707937064817,80.9773116733933
2015,78.3141654690464,76.0747073904207,80.5475344841033
2016,78.5887993510936,76.2870946458752,80.891402220902
2017,78.2586381026347,75.8088978729877,80.7407559996499
2018,78.2216701250801,75.9014379957765,80.5744985190698
2019,78.3860149668685,76.0634528309941,80.7332933428136
