"Year","Total","Male","Female"
1999,74.9842337276452,71.978336670127,77.8963345447448
2000,75.0163842403868,72.0602622904002,77.8775378179096
2001,75.0065923882013,72.1438433264923,77.7870872023633
2002,74.7637896806361,71.8600286378254,77.6044664241386
2003,74.9906280586656,72.1178725548227,77.7973168586519
2004,75.5459395739102,72.7107675937806,78.2961566748076
2005,75.3686650937471,72.4809983186997,78.2199078320924
2006,75.5697512484111,72.6544819291172,78.4403998554314
2007,75.8666245522501,73.1240747105665,78.5551396917401
2008,75.8003060921269,73.1405917607098,78.4108081266554
2009,75.803314482089,73.2393024923629,78.3234648121916
2010,75.8655063940907,73.2876171313454,78.3944114399379
2011,75.8790908487512,73.2818412361815,78.4605074702151
2012,75.7125517620988,73.1678521447402,78.2502042341832
2013,76.1008130209433,73.4888734107661,78.7111174267442
2014,75.8199226170684,73.1223390225019,78.5272052160937
2015,75.4481272216036,72.7160973195516,78.2125294422535
2016,75.1457234703612,72.5651676547692,77.7526565805594
2017,75.2602113334893,72.6148449908762,77.943394082216
2018,75.4981846466673,72.8148634186338,78.2374573575682
2019,75.701301892329,73.1066420548593,78.3365068931745
