"Year","Total","Male","Female"
1999,74.0697265433963,70.8876924101947,77.127794001098
2000,74.199789062114,71.0711998073466,77.2020035723803
2001,74.0701961560359,70.9588885328272,77.0787866512918
2002,74.1007230644613,70.9389825298069,77.1836383643684
2003,74.0968492579649,71.070428298555,77.0400752842305
2004,74.222703269638,71.1630012701737,77.2123574387309
2005,73.8656349303545,70.8657604972405,76.8136610152939
2006,74.4706793194529,71.3362421709345,77.5735997611151
2007,74.9310030862737,71.8651775803172,77.9835348036105
2008,74.9855978263818,72.1164135882038,77.8098582506618
2009,75.5473175331672,72.5869372307673,78.4783181813347
2010,75.8128627158558,72.9199192013725,78.6785541585343
2011,76.0120720380969,73.2405436896289,78.7451574740374
2012,75.8375269989993,73.0452528531691,78.6071386235468
2013,75.6732694487868,72.8347946724583,78.5028774372137
2014,75.7707774535274,73.0484044852207,78.4687222359137
2015,75.9932668108593,73.019466230375,78.978668420314
2016,76.0182198191886,73.0961408959616,78.9514427631929
2017,75.8255579309095,72.8651206293979,78.7998045612351
2018,76.0069665878279,73.059122891324,78.9692034024479
2019,76.1681418053896,73.2384455936849,79.105706238892
