"Year","Total","Male","Female"
1999,77.3519538972292,74.9034924080175,79.641839855295
2000,77.5004475641947,75.0559079838754,79.7879732816613
2001,77.5926921587306,75.1589317645135,79.8952655933865
2002,77.5157081097839,74.8526179222726,80.0897475000415
2003,77.8325647108578,75.4439685265465,80.0991347725093
2004,78.0394822746133,75.7539319694259,80.2269154249235
2005,77.717277011941,75.2273978522015,80.1140682011263
2006,78.4374795292684,75.798153387286,80.9902139791559
2007,78.5868042406698,75.9248887611883,81.1627376002294
2008,78.863580298439,76.4166452831424,81.2233063989178
2009,79.0179361056802,76.6299927609326,81.3207235650097
2010,79.0788609035741,76.7735734389904,81.2983651014967
2011,78.944618851913,76.5837560960971,81.2611048800208
2012,79.228070687072,76.7333502869146,81.6994480097632
2013,78.8763614165289,76.3507722006712,81.3871461747808
2014,79.076308543912,76.4823558773793,81.6601953140137
2015,78.3587449458819,76.0010633143413,80.7036382495022
2016,78.5769805842147,75.9984546391583,81.1752254029843
2017,78.373223001969,75.7762981038447,80.9925017891434
2018,78.7622506643261,76.1157672277298,81.4361923925162
2019,NA,NA,NA
