"Year","Total","Male","Female"
1999,76.1153761019315,73.1564784961265,78.8999927978899
2000,76.2143298604659,73.5221142946291,78.7210349665314
2001,76.3903047853046,73.6493553266156,78.9436371348219
2002,76.6590710103414,73.9833701726017,79.1450480484723
2003,76.6971984832374,73.8669665972117,79.346989543495
2004,77.3129961283272,74.563077067086,79.8737134036199
2005,77.5258622885143,74.7827158388489,80.1034137301632
2006,77.7565287124286,75.1727406186514,80.1521273327674
2007,77.9544758606413,75.2428599832076,80.4838129077022
2008,78.2990922180423,75.5029179538422,80.927655241337
2009,78.6657180790382,76.0056024835839,81.1321130762768
2010,79.2056979108541,76.7401018875068,81.4956075158953
2011,79.3557303664501,76.868957950961,81.6556423292138
2012,79.4766759648769,77.0294063842328,81.7339035808135
2013,79.3925959018378,76.8992211126537,81.7079443921191
2014,79.5811505655806,77.0009059848567,81.9921047106664
2015,79.3587503793771,76.6505676445686,81.9349371733544
2016,79.0233294141663,76.2257832186318,81.7064380657257
2017,78.9535280088483,76.1289807892406,81.6642166960541
2018,79.1273829099133,76.304441599588,81.8452480060397
2019,79.246524202628,76.3473512691008,82.0390328750519
