"Year","Total","Male","Female"
1999,78.2071285797324,75.4835398141509,80.6368640182771
2000,78.2035747896552,75.618991451793,80.5142827910244
2001,78.2015130664506,75.738742444196,80.4210825719061
2002,78.2960218710217,75.656871537011,80.6974652546009
2003,78.5237487813043,75.9708792128426,80.8371435596583
2004,79.0343241439376,76.46324957199,81.3736781657139
2005,79.2943696186675,76.7876992017604,81.562841647044
2006,79.5798267094049,77.162399362701,81.768904798873
2007,79.8226071432638,77.2901061085279,82.1188975987305
2008,80.0080652886769,77.5412093572662,82.2492048639268
2009,80.3523151456064,77.9110830384989,82.5480026936234
2010,80.5906508964601,78.0182311383683,82.9525987866826
2011,80.5261752192956,78.0429078508238,82.7971954229871
2012,80.8917250316534,78.5430113300449,83.0373355394019
2013,80.747327888198,78.4166938436577,82.8839985903997
2014,80.6684730155557,78.0644819746307,83.1066678747312
2015,80.2332691627729,77.7429036157961,82.5772967923661
2016,80.4584505954859,77.7892005222476,82.9924652953955
2017,80.2591519877304,77.5419103372213,82.8524447447897
2018,80.4234674100575,77.8649709609543,82.8537904294534
2019,80.7400956621252,78.1349920605837,83.2135429474639
