"Year","Total","Male","Female"
1999,76.1065862387939,73.4014841718122,78.6800029467445
2000,76.3396931248406,73.7306188699115,78.8164714247434
2001,76.592938905755,73.9334211891795,79.1255293557041
2002,76.5620880459225,73.9811375048438,79.02001031187
2003,76.9173064809015,74.3535533000241,79.3620835154603
2004,77.3548149484375,74.8694469939553,79.7092804620391
2005,77.222119495928,74.8104197630462,79.5203558643586
2006,77.5818917080158,75.0710972644567,79.9799390973965
2007,77.6781256994562,75.1177730523622,80.1369856767212
2008,77.6964081112586,75.2659095616884,80.0314708491901
2009,78.0675489401453,75.5168532081505,80.519908523191
2010,78.0821392796356,75.674726499205,80.4004925236402
2011,78.0754894154934,75.6451173845183,80.4310295644762
2012,78.2172817935583,75.7946472275375,80.574178149194
2013,78.08771073865,75.6408748973573,80.4913655120894
2014,78.0744709258244,75.6535722969447,80.4535889656558
2015,77.9855300832135,75.6162990220307,80.3234041790458
2016,77.9060985286808,75.4640936860112,80.3394519530688
2017,77.9003842972448,75.439456259395,80.3568690800764
2018,77.9275448933977,75.4835829716905,80.3689378385772
2019,78.1785062474407,75.764962569313,80.5870510045189
