"Year","Total","Male","Female"
1999,78.6113900945133,75.965013168984,81.1104868320297
2000,79.0276693398946,76.4668518244991,81.4304974392856
2001,79.2175508663625,76.5862974651244,81.7086567536707
2002,79.1368369568783,76.617774624854,81.5200736660753
2003,79.6657493202935,77.1395734566433,82.0500978685673
2004,80.073133853314,77.6262693345873,82.3587405663231
2005,80.0804706661541,77.7263259298938,82.2963385982797
2006,80.4166760402089,78.0897570404024,82.6035457942908
2007,80.6806367409685,78.2323256957648,83.0053014574065
2008,80.4588551626448,78.2582321163203,82.5394248584202
2009,80.9113672479216,78.5369697919294,83.1847295608726
2010,80.830788786268,78.5903029508259,82.9788284927797
2011,80.768269250655,78.5582691709686,82.9027995318978
2012,80.9480367462939,78.7676653344672,83.0465538537636
2013,80.8683242321229,78.6182320809328,83.0503208753366
2014,80.9812305586981,78.9020109812892,82.9886964969667
2015,80.7663971333739,78.6590618770028,82.8287564041976
2016,80.8560766500181,78.5770328857634,83.110199577136
2017,80.7288936132765,78.5397512417846,82.8952301465975
2018,80.8677347906933,78.7077332164268,83.0109154400284
2019,80.8306862687004,78.6112734653528,83.0522028054718
