"Year","Total","Male","Female"
1999,73.4604190382536,69.911255332168,76.9186000928884
2000,73.3968572793509,70.1715254050806,76.5132769131485
2001,73.6675432601051,70.4308085079068,76.7950630861466
2002,73.4846461959347,70.3559814594717,76.5293152530838
2003,73.7009279701151,70.6084901814516,76.6932681132795
2004,74.104986650465,70.7474836003007,77.3931470273696
2005,73.6397288363245,70.4476038590367,76.7846789672813
2006,73.8845047004718,70.5857249980816,77.133821518849
2007,74.3544153477172,70.9511707735106,77.7182117752099
2008,74.3677566395509,71.3268246322484,77.3431670651923
2009,74.7948244660981,71.6944074255724,77.8230757966374
2010,74.7816286941504,71.9523208494143,77.5481009411245
2011,74.7753297925065,71.8928213293279,77.5984805420964
2012,75.0358240544995,72.2557068132701,77.7644570761996
2013,74.6359000320994,71.7639803997808,77.4765080497017
2014,74.8840656107042,71.8868201730286,77.8718621138762
2015,74.5565907217232,71.5636936287826,77.5396239316258
2016,74.6861535307786,71.6570815639855,77.7094390290826
2017,74.6974259843188,71.6810935439476,77.7195952402152
2018,74.8389329349856,71.8886838061188,77.7881164380264
2019,74.6407418308206,71.4085787004278,77.909230162151
