"Year","Total","Male","Female"
1999,75.670664078121,72.7187594742401,78.4985038299475
2000,76.0179290687811,73.2695329334565,78.6189696014718
2001,76.0925985764516,73.333752523288,78.7221426421639
2002,75.9054927039609,73.0452189676214,78.6668471186089
2003,76.1467241975326,73.5207371898171,78.6570810304437
2004,76.6056880619058,73.9300294156509,79.1668403044436
2005,76.575178222456,73.801604877419,79.2587003213129
2006,76.7190407131406,74.0729368688793,79.2735574890615
2007,77.1343782664903,74.4754076516928,79.7124143206148
2008,76.809511174307,74.1682131719555,79.3916295177539
2009,77.3967761731516,74.7746343596493,79.9433538329286
2010,77.4666695478443,74.9234705242065,79.9375605340156
2011,77.4705083072,74.9088218634599,79.9808687232884
2012,77.6356735685907,74.9862809996792,80.2405024029485
2013,77.5690149926755,75.0712558255902,80.0179498934383
2014,77.5616416756485,75.0031863167362,80.0890729964012
2015,77.279415194699,74.6421046014541,79.9000127436915
2016,77.3553648482426,74.6135859763078,80.0949318867842
2017,77.1368979493366,74.3497718008692,79.9385636862741
2018,76.9834532525563,74.2377305111874,79.7568875558455
2019,77.3709005387594,74.4645545068045,80.3191781640728
