"Year","Total","Male","Female"
1999,77.0432036563328,74.479738270522,79.6334429662747
2000,77.2436048834493,74.4838218854404,80.0601999457709
2001,77.3378848667751,74.6367136934365,80.1094971782938
2002,77.0056026076481,74.9072150223812,79.1071344720529
2003,77.1431147883939,74.5498137359371,79.8128851361214
2004,78.1454957107788,75.890929697221,80.4129911810066
2005,77.6027416727518,75.1558060800893,80.1069697023106
2006,78.0406128569302,75.6166286001304,80.5322185714422
2007,78.1988827493557,76.034937315419,80.3980565970782
2008,77.9612144361173,75.7178704939187,80.3054442941344
2009,78.3615406345709,76.2492829164121,80.5127692216812
2010,78.5740410686445,76.2778086845443,80.9576179988719
2011,78.3412298525809,75.9439964531599,80.8628349825509
2012,78.7986793325057,76.4719688807501,81.2495069825023
2013,78.3094416682974,76.0370444560431,80.6872167953075
2014,78.9306253424879,76.8380346127241,81.1259457144036
2015,78.0581590327676,75.7215956786786,80.5354502556107
2016,78.4456002223685,76.3796079501139,80.6274107318676
2017,78.5291525436978,76.4684182072663,80.703109957309
2018,79.0651581619688,76.9058624430224,81.3538400707295
2019,78.7710076590007,76.4371548343442,81.2539221895421
