"Year","Total","Male","Female"
1999,77.6173811433819,74.8931452913302,80.222709431053
2000,78.2180129114019,75.5269563724331,80.7682274564055
2001,78.1780730088334,75.720725136834,80.4899205375916
2002,77.7299193178214,75.1564139201824,80.2036351599404
2003,78.2801691905638,75.9326896639758,80.4920457671132
2004,78.9405002544281,76.4049781927087,81.3433751591765
2005,78.8728474278649,76.3937644871538,81.2355185682304
2006,79.0642001577171,76.5464674437781,81.5054089391254
2007,78.9402105111768,76.7285628957153,81.0650894253427
2008,79.0019697809369,76.6473255970113,81.3046321395368
2009,79.67040742625,77.5270743879719,81.7191071016844
2010,79.6625702358791,77.2895871688547,81.964762120187
2011,79.5303815799632,77.3775296911466,81.6069236724219
2012,79.5374201520749,77.2325757497187,81.7892673936905
2013,79.6429959023735,77.4499000490186,81.7862603523587
2014,79.4577419031448,77.0973129511733,81.8027037410637
2015,79.1305456470074,76.8764828933601,81.3755557705059
2016,79.663274107266,77.6443819117977,81.6307554000661
2017,79.3166953198327,76.9439443360463,81.7087845290189
2018,79.3812737747852,77.0983007190977,81.6869859545766
2019,79.5392036053415,77.4456620897723,81.6347134396509
