"Year","Total","Male","Female"
1999,78.165051231559,75.7861949988942,80.3811904445356
2000,78.3583048025674,75.8669339357151,80.7250115665326
2001,78.3950930200296,75.92230359974,80.7648326325263
2002,78.5737541303047,76.2369382466967,80.7637471387754
2003,79.043619891732,76.6976347607894,81.260497778891
2004,78.8728966588101,76.6612458167036,80.9568060007752
2005,78.9708294615833,76.749593061857,81.0820960987489
2006,79.4792809026375,77.3510860510282,81.4872187035669
2007,79.4710900628114,77.4877584867206,81.3487430912928
2008,79.920806019985,77.6398161551663,82.1160553548571
2009,80.1981786628627,77.9331108068428,82.3553112876075
2010,80.3134574562986,78.0904552359876,82.4454320109831
2011,79.9601662861595,77.7687857496299,82.0972026314259
2012,80.3682355213145,78.180364051772,82.4813757023201
2013,80.3300328352738,78.1966012781884,82.423977512989
2014,79.8693414493988,77.6802864658826,82.0344816908581
2015,79.4771294600716,77.216986232305,81.7371118465553
2016,79.2888685684023,76.5495130364186,82.0896950592943
2017,79.418710619861,76.8228976061635,82.0651405391566
2018,79.4237527943006,76.9400518470528,81.9549505915801
2019,79.74746071608,77.3363998748414,82.1837478231661
