"Year","Total","Male","Female"
1999,77.2758235487287,74.6202580994052,79.6982130528068
2000,77.3758870335922,74.6898065625277,79.8378393233165
2001,77.3982939395299,74.7458009798581,79.8460345240709
2002,77.8408987498691,75.3846233019828,80.0839655645037
2003,78.0824609285541,75.5467507311768,80.4092878302098
2004,78.5785898990783,76.1601608586752,80.7711705781458
2005,78.6618166294373,76.1993663372993,80.9111798471315
2006,78.9848490250624,76.4245829260599,81.3415677371878
2007,79.4347403281808,76.9670379520108,81.6823508735863
2008,79.5955322542508,77.1644692291431,81.8091927962643
2009,80.1278549690921,77.6959754676579,82.3290719027752
2010,80.1679598075965,77.6518577069815,82.4745858205876
2011,80.0794195616314,77.6308135725993,82.3340656062334
2012,80.3748350756193,77.912240461388,82.6520979296955
2013,80.3836938119327,77.8973374645235,82.693122650746
2014,80.5526719257845,78.1335658650535,82.7937101882987
2015,80.5282144745051,78.0906750606121,82.8071952200416
2016,80.4001350556117,77.9417356944908,82.7208986644971
2017,80.2309343462698,77.6669506910608,82.6802823869826
2018,80.2630649780233,77.6732167975245,82.7411439565483
2019,80.5453511390839,78.0174230155188,82.9633942603537
