"Year","Total","Male","Female"
1999,76.9129305890073,73.8221021379115,80.0333584386453
2000,77.4908434046187,74.5247732631555,80.4486485099285
2001,77.1707742656065,74.1465238836761,80.214209949323
2002,77.1481319509354,73.8934872430126,80.4429506316091
2003,76.9841241330143,73.9456257550332,80.076291543667
2004,77.6634697792499,74.706139996135,80.645761030969
2005,77.505230516067,74.6254994075946,80.4040973399187
2006,77.6252242497039,74.8432432362926,80.4388911441878
2007,77.7899514114903,74.7072860733421,80.9316864083731
2008,77.6226372531373,74.8804052101512,80.4228501196765
2009,78.3293510484071,75.5155598870127,81.1603295299833
2010,78.4945400782552,75.8587861598237,81.1783427260147
2011,78.3013918004598,75.7178323401002,80.8928711114103
2012,78.2699744598416,75.2082930767464,81.4312345654589
2013,78.6009953145578,75.81468038914,81.4458515548452
2014,78.0391023245822,75.1827311989073,80.9747581925384
2015,78.1983246235203,75.2118485844531,81.298121910523
2016,77.8614117339658,74.9731163828783,80.8527182284616
2017,77.9729681467206,75.0513162700324,81.0020280645355
2018,77.9370928824027,74.7416908866033,81.2859635368338
2019,77.6357913595198,74.502000888137,80.932172481412
