"Year","Total","Male","Female"
1999,77.4819595526113,74.722262941394,79.9735664361593
2000,77.8657992370585,75.0928874800291,80.3592229189705
2001,77.8424738929385,75.0971873715001,80.3177823303696
2002,78.2141409995966,75.5548006675949,80.6036740117542
2003,78.5552378950223,75.993013568407,80.8532870136201
2004,78.9554960850505,76.464206369234,81.1842587262445
2005,79.1444737409416,76.6439318389476,81.3972801182931
2006,79.5613072495934,76.9628933531233,81.9038572164098
2007,79.8529711217355,77.3156187506784,82.1311739233501
2008,79.968251487378,77.4762990811687,82.2155676910642
2009,80.3296905138017,77.7735734099697,82.6341942852632
2010,80.5851144101096,78.0929475457552,82.8329629202847
2011,80.5672063714808,78.1010749963943,82.8074423905856
2012,80.8432469452706,78.3370725744375,83.124828927326
2013,80.8875911765583,78.4173724083812,83.1473291035226
2014,81.1848898168419,78.6792814136274,83.4820249824902
2015,81.0712086835544,78.5856737385615,83.3639820021547
2016,81.082776008207,78.4942514564489,83.4867358971594
2017,81.2079710402042,78.6054913164031,83.6372979032734
2018,81.2763682797421,78.7693295143106,83.6142446057431
2019,81.4427952892516,78.8183378066917,83.9116534482241
