"Year","Total","Male","Female"
1999,75.6668260607482,72.5899815524568,78.5777877558535
2000,75.5245241989753,72.5419000714932,78.3669633233242
2001,75.955408047791,73.0061763744466,78.7515437754049
2002,76.0680374472652,73.1685303350334,78.8282823811907
2003,76.1067119028443,73.33614989775,78.7311284549237
2004,76.4808181851922,73.6233342392347,79.1915564778643
2005,76.473078533837,73.7878340675189,79.0166595505909
2006,76.8715842483175,74.0544120062903,79.5602901524969
2007,77.0417894885715,74.2232020643118,79.7239666974531
2008,77.2880258959634,74.5887659572292,79.8583423271008
2009,77.6663309542966,74.9715748822779,80.2118297540402
2010,77.8842827333402,75.2240647792742,80.4085899561861
2011,77.9799743080245,75.4350056356026,80.3958726030269
2012,78.0091171244502,75.5219985366497,80.3795176329533
2013,78.1420834586501,75.6100809398335,80.5603280548921
2014,78.1183222148989,75.5689707488082,80.5569879056019
2015,77.874334274017,75.4112733706232,80.2457918595388
2016,77.8674520039783,75.3767188458389,80.2661341958874
2017,77.784199760999,75.2225112025739,80.2558615217729
2018,78.0948713086728,75.365214294007,80.7594867193745
2019,78.1234906928253,75.4864431325146,80.6909423941834
