"Year","Total","Male","Female"
1999,78.0955893391287,75.2429737874142,80.9562878891804
2000,78.7444957883316,75.642978260534,81.8865670376968
2001,78.3471327276638,75.6448041671662,81.030483570227
2002,78.8231619551138,76.0721618727661,81.5739576202016
2003,78.3379997895172,75.6802365931436,80.9953715987964
2004,79.7655867994521,76.9143262393262,82.582121615141
2005,79.3964920940483,76.6431269436038,82.1555387864232
2006,79.2886607088369,76.5221460061661,82.069319575305
2007,79.9545273583462,77.3773795212988,82.5130822490205
2008,79.542731900334,76.5844730483604,82.5805538908257
2009,79.3982474491986,76.7299892085235,82.1043985317106
2010,79.6898676593662,76.9722206756029,82.4818335217648
2011,79.6857014497037,76.8869964495137,82.5833485428173
2012,79.6355605420639,77.3655138775842,81.9266388468679
2013,79.341209407086,76.5466703654221,82.2798409450193
2014,79.8090062924298,77.4426237760951,82.3028867698192
2015,79.5978540549267,77.1759081573687,82.1156592646442
2016,79.7565112745633,77.3131925814768,82.3520013380836
2017,79.71957546403,77.3883868562819,82.1573045190329
2018,79.7697237947769,77.2329680659749,82.4676208150497
2019,79.2712674863941,76.6011997016541,82.1407616843629
