"Year","Total","Male","Female"
1999,76.028643838891,73.3677192892049,78.4942979756503
2000,76.2320379227421,73.6196394309077,78.6642433588335
2001,76.3455690741952,73.7311681420509,78.785309008747
2002,76.2616891422262,73.67733568209,78.6849578630786
2003,76.4901716503865,73.9955853160518,78.8336687709392
2004,76.8833580460249,74.2875166138735,79.3275172374576
2005,76.6863084353948,74.0615435559732,79.182192697188
2006,77.1345964183246,74.5616284571431,79.5702056630165
2007,77.3252781435671,74.7407620612939,79.7849255448172
2008,77.1831458232077,74.6430577833559,79.6151199063325
2009,77.5708744948284,75.02802915078,79.9942248379879
2010,77.6205355434594,75.1775274977238,79.949642701699
2011,77.4265423222432,75.0513260209247,79.7031676956575
2012,77.5088326822542,75.1575064885342,79.7681886958159
2013,77.5669201983524,75.1566002683328,79.9014901124089
2014,77.5877146728543,75.0556356350455,80.0648651211083
2015,77.1772269102475,74.7086332496325,79.6016775576991
2016,76.9448358958468,74.3284979368855,79.5397728593672
2017,76.5293432650829,73.8471170183865,79.2168882270577
2018,76.8991293270025,74.2790605023543,79.515227598028
2019,77.057036296561,74.4610759113065,79.6491868924648
