"Year","Total","Male","Female"
1999,74.981734875766,72.1711687189861,77.727304235438
2000,75.0145801620432,72.3641232509128,77.5951843229276
2001,75.2383673366137,72.5313272147267,77.894560468339
2002,74.9506225889817,72.3653077229972,77.4955566964341
2003,74.9367132586096,72.2836457205281,77.5810157493524
2004,75.326700851446,72.7410888419968,77.8774187835929
2005,74.9032856640932,72.3659457289561,77.4318921456632
2006,75.3149973294014,72.7121595040617,77.9247041687465
2007,75.261275840056,72.8274146031868,77.6752796653905
2008,75.0922505507116,72.5296132718905,77.6726289721771
2009,75.7183324424086,73.1584113023651,78.284819270536
2010,75.7420755018503,73.2026043926953,78.2965803109616
2011,75.6585286691071,73.2442640540944,78.0820731679134
2012,75.9135514542998,73.5213358795165,78.3203212282571
2013,75.6370063049164,73.1625452861017,78.1466490151795
2014,75.7241684192777,73.3392963885768,78.1354624006351
2015,75.6491509230536,73.109584185424,78.2425084609363
2016,75.8410900563237,73.3334604504049,78.3974649919842
2017,75.7317438924264,73.3204838808521,78.1844550512634
2018,75.9025884919177,73.33680648632,78.5357526789094
2019,76.0764095073523,73.4681150149445,78.7629486623365
