"Year","Total","Male","Female"
1999,77.593089604512,75.2018696753116,79.9305040948876
2000,77.7832856493971,75.4139169278342,80.0939986390353
2001,77.7507305863247,75.5720821255408,79.8489705130393
2002,77.563913991773,75.3234713088845,79.742345023361
2003,77.8248306889889,75.5532701555545,80.0532730346825
2004,78.3396646743682,76.0855000389934,80.5167436979254
2005,78.3170960439171,76.0765578435187,80.5144932548015
2006,78.5343878758552,76.3973169437176,80.6062176347295
2007,78.8273116937823,76.5234844212452,81.0919326378666
2008,78.9469184544927,76.6015569080246,81.2684347008327
2009,79.3545002369907,77.0740249242788,81.5884721071782
2010,79.5814557463831,77.3912161363967,81.7227325550806
2011,79.3966308668511,77.1677641578659,81.5923085203912
2012,79.6350947787945,77.4310835735725,81.8133956282725
2013,79.4864504398369,77.3169259040463,81.6285658987268
2014,79.5556988774964,77.3286365850221,81.7618521277915
2015,79.3346716463536,77.219578218907,81.4527147850146
2016,79.5570219850282,77.3177630705023,81.8018307553282
2017,79.4682039212649,77.3486497862863,81.6020612895941
2018,80.0072649744327,77.8105209422714,82.218963130574
2019,79.8321254478309,77.5689523630149,82.1183736270902
