"Year","Total","Male","Female"
1999,76.4797795478356,73.6300492666263,79.1284441441343
2000,76.6054653262064,73.7455264931915,79.2836910500612
2001,76.7398299548065,73.9475162939815,79.3436145571046
2002,76.7705183837387,73.9925606078717,79.379133935495
2003,76.989697655118,74.1853018560455,79.6425255456861
2004,77.284098973291,74.5458709717563,79.8722980007851
2005,77.1955664660986,74.4620627790426,79.7971289668547
2006,77.6371415807906,74.8258538277766,80.3252761827981
2007,77.9585820870422,75.2174262792056,80.567604789995
2008,77.9255543920023,75.2327708251473,80.4980563283982
2009,78.2992148779934,75.6384195239033,80.8347048553167
2010,78.489809730273,75.8234759255775,81.0410109545629
2011,78.2652870561987,75.603036855905,80.8317923349104
2012,78.5315007966856,75.9262608168932,81.0428407461187
2013,78.5320390380604,75.9655280711714,81.0185323605694
2014,78.7360695594129,76.1408467337161,81.2584220480661
2015,78.329956731023,75.7542595064377,80.8494663443084
2016,78.1454861063892,75.3625717467327,80.9030319449462
2017,77.9569541689494,75.1987146371751,80.7035528463265
2018,78.3597483427899,75.629394136238,81.0774268683876
2019,78.5587191401564,75.887500309326,81.2137616901928
