"Year","Total","Male","Female"
1999,78.0997310490371,75.327883255086,80.5522659738145
2000,NA,NA,NA
2001,77.8798598621706,75.2885434627213,80.1786882728258
2002,77.8132256844949,74.9396109069426,80.4761210498004
2003,78.0570167362093,75.3323782527992,80.5451101509129
2004,78.8469825275015,76.0108182426489,81.4322071491272
2005,78.5679798550426,76.0584596694623,80.839395369864
2006,79.0388951185822,76.2464266744875,81.5934344060588
2007,79.0574427012958,76.544914730963,81.3469487559672
2008,79.1661671312312,76.365528113787,81.7617373917295
2009,79.6740780330227,77.0337219546216,82.0801912172486
2010,79.5451689932812,76.9618965669114,81.9039895033944
2011,79.747340102397,77.1659134427075,82.1196822743122
2012,80.1902268570017,77.3619802227457,82.8746128248545
2013,79.7090226683577,76.9227410798326,82.3369235928161
2014,79.9646333309501,77.5895376690095,82.1527174182613
2015,79.409452326622,76.7916947112821,81.8838358681131
2016,79.8665171046617,77.2983891080154,82.2940724895311
2017,79.4620713421032,76.7983238912236,82.0072481453079
2018,NA,NA,NA
2019,79.6402278358981,77.1204442003314,82.0928629083886
