"Year","Total","Male","Female"
1999,74.6835039351488,71.4724179159465,77.7746799170188
2000,74.7998485460956,71.5320230450823,77.9655489884512
2001,75.0871293440752,71.7905676602147,78.2812389090054
2002,74.9924503729945,71.766323827217,78.1314312161012
2003,75.1560393348063,72.1345841386554,78.073563262481
2004,75.652622040582,72.5669162087783,78.6160747226767
2005,75.5157264244056,72.3670974023251,78.5815901262575
2006,75.9745030094303,72.8904953760578,78.974854269108
2007,76.1598395634009,73.2244120410483,79.0154503965638
2008,76.4718096620827,73.6564709857854,79.2016319922071
2009,76.8158380101333,73.8726741871454,79.676333546242
2010,76.771212380686,73.8870805970844,79.5767001250905
2011,76.9399996337806,74.2542248938543,79.5505999334034
2012,77.0122898201081,74.3856865253206,79.5582073019128
2013,76.9843036284278,74.2651241505003,79.6552814879218
2014,77.0189183766824,74.2949773947889,79.6925507534171
2015,76.7633594159549,73.998014526145,79.5093456925922
2016,76.8534302775432,74.0640214315756,79.6080663136798
2017,76.8738795404057,73.9276154420453,79.8139663607276
2018,76.9065876635999,74.0958369634358,79.7034089005503
2019,77.1994804976866,74.2789782402859,80.1065820220705
