"Year","Total","Male","Female"
1999,77.4947355479669,74.481938986068,80.5177097569513
2000,77.8606192425567,74.9224802446405,80.8062360350936
2001,77.9408915474995,74.5733641878997,81.3876640561206
2002,78.1470243686313,75.494242508882,80.7595047688825
2003,77.7118808777538,74.7177387762526,80.7394253348338
2004,78.4223351439539,75.6795660984137,81.141164003641
2005,78.2100154288118,75.3155314762715,81.1475162326599
2006,78.5859550861364,75.7227157800494,81.4769941276329
2007,79.3186596032262,76.7240802564235,81.8651456568129
2008,78.9627256267621,76.255668711067,81.668253875223
2009,79.3327746451315,76.4516740912647,82.235839812519
2010,79.3182345502216,76.7480822547796,81.9041242836914
2011,79.1621964514395,76.7934639020272,81.5570237113502
2012,79.0130828546255,76.6294857929187,81.422116249047
2013,79.6899348026296,77.1224047709462,82.3107283101967
2014,79.1752974085742,76.7002790434309,81.7070370788971
2015,78.807811209694,76.2509811700213,81.4571168697257
2016,78.8681036010071,76.1655413799834,81.7099920305054
2017,78.6373916674581,76.1222904107512,81.2598078276183
2018,79.0875749419444,76.5188899501195,81.7708480662716
2019,78.6422669167646,76.2673144611529,81.156506489279
