"Year","Total","Male","Female"
1999,74.9247784264302,71.7651577545551,77.9640594701187
2000,74.6676508755617,71.5547793624088,77.6708891266605
2001,74.9426889807853,72.0301988237445,77.7422242764605
2002,74.6579301932149,71.7247900605815,77.4890523032963
2003,74.6853154397712,71.7901372428242,77.4895180172633
2004,75.1722556836526,72.2576352732781,77.9980599680284
2005,75.1088399630629,72.2069348627575,77.9405463406723
2006,75.5059028704626,72.5854058948623,78.3363828760722
2007,75.8497421989522,72.9610327055404,78.6785897099695
2008,75.8454601423576,73.1922011735262,78.4214595262465
2009,76.145860373306,73.3404394987348,78.8771729087583
2010,76.1784404804388,73.4571272404497,78.8206764752679
2011,76.2674235090633,73.5574449260205,78.9190143006294
2012,76.258652898142,73.6274246216137,78.8305479422967
2013,76.2840029687105,73.6742515341171,78.8423775913395
2014,76.1859244878875,73.5066928328748,78.8369037060184
2015,76.0821907373377,73.5338410054344,78.6049306121994
2016,75.9543706853322,73.3739383628838,78.5171022972909
2017,75.7548909090935,73.0513628075935,78.4619538469494
2018,75.8428285450875,73.2283848655631,78.4524465245775
2019,75.9229275960533,73.0028567027351,78.8759358475392
