"Year","Total","Male","Female"
1999,76.6101723131622,73.8977742904787,79.2203853834154
2000,76.6357205880973,73.9944229387109,79.1855661742228
2001,76.6154775928734,73.9822502619613,79.1768613067671
2002,76.5938417057505,74.012810546471,79.1008280903762
2003,76.8777852275367,74.2974222571783,79.3825882994875
2004,77.3330986388367,74.7416565427925,79.8513431051049
2005,77.3970174171801,74.8560162664315,79.8756298915219
2006,77.7629881927623,75.3175930589682,80.1346800422975
2007,77.8248348498487,75.3331799083196,80.2509811348232
2008,77.8619971365468,75.4391895035905,80.2386049259035
2009,78.3465271616301,75.9105417471328,80.7222608748408
2010,78.5162267054957,76.1402280822477,80.8279578332347
2011,78.7247026052225,76.3896138480405,81.0151654433468
2012,78.7130765072988,76.3339107383695,81.0512449209756
2013,78.6987184802831,76.3319368563709,81.0270591111159
2014,78.7328986038291,76.3190365224126,81.1170999408396
2015,78.7334874626126,76.3863454792609,81.0583381274193
2016,78.9301968260275,76.4977066704533,81.3443473073817
2017,78.8663727313044,76.4190679749897,81.3072200270393
2018,78.9960664753594,76.4958523071904,81.4990283163625
2019,79.2553774783398,76.7340323005142,81.7809126503149
