"Year","Total","Male","Female"
1999,76.7274712882727,73.9454569995169,79.3782528552593
2000,76.8824626373746,74.1565415997869,79.4794800000158
2001,76.9797800852426,74.2947239195231,79.5428054038764
2002,77.034721404139,74.3652043253845,79.5900976377637
2003,77.2069389964181,74.5765226227699,79.7291890055161
2004,77.6525444772546,75.045627625539,80.1430470185451
2005,77.6293747505907,75.0304668747055,80.129843266054
2006,77.9615027814387,75.3603462171114,80.463943476508
2007,78.2399889479685,75.6514437866648,80.7312648006486
2008,78.3044048585837,75.7797779502136,80.7389923191128
2009,78.7151266718849,76.1760699528064,81.1545171111328
2010,78.8863682327457,76.3897942518214,81.2900774835298
2011,78.8887522538465,76.4424807877381,81.2528011918646
2012,79.0414496469783,76.5964192698341,81.4117111929406
2013,79.0348512768075,76.5902856506624,81.4147186415992
2014,79.1301954706623,76.668762015061,81.532648945559
2015,78.9396786247857,76.4842865666373,81.3535501584774
2016,78.9471113733738,76.4129898437126,81.451926501593
2017,78.8774421172839,76.3354545287901,81.4005935459812
2018,79.0515703098873,76.5023657122235,81.5870397153804
2019,79.2044547967415,76.6247322514369,81.7748345247979
