"Year","Total","Male","Female"
1999,78.5542460489786,76.1873575613313,80.8617812979815
2000,78.6430786419338,76.5384180442689,80.6850262520056
2001,78.582895524684,76.5858947451997,80.5283510962821
2002,78.4893031916684,76.3825584047988,80.5590133566572
2003,78.4755449317049,76.5582889313625,80.3632391028069
2004,78.769019675062,76.7195738980073,80.7972949112087
2005,79.149906648334,77.2384649764071,81.0254381335215
2006,79.2697774150085,77.4147468988092,81.0871175961298
2007,79.2720449572276,77.3198950441888,81.2147196506104
2008,79.8234514073019,77.9124482304623,81.7204386082303
2009,80.0916197214798,78.1774854409408,81.9724478437121
2010,79.940140972018,77.8631190087888,82.0114055433945
2011,79.8491339447735,78.1002745357514,81.5988330615058
2012,79.8475843730278,78.0362498819099,81.6837791670267
2013,79.6563867045295,77.9268380397087,81.4113737505258
2014,79.6881397381766,78.0615850258463,81.3236016626336
2015,79.5481402678032,77.9429147476023,81.1729895275639
2016,79.456963121669,77.5578485032621,81.4011447726866
2017,79.7398044899515,77.8729120423671,81.6454412612882
2018,79.9531500877134,78.1338363080762,81.8164904859408
2019,80.1296181184702,78.3909767001244,81.895890699037
