"Year","Total","Male","Female"
1999,78.0306167921812,75.3459659743636,80.5564790401254
2000,78.0745412504107,75.6694723259678,80.3275984492514
2001,78.1048357237627,76.0356793563475,79.9862145485894
2002,78.6765329642028,76.309785384552,80.9169735717613
2003,78.7398981993359,76.7084428520304,80.6579412066538
2004,79.3086120102278,76.95585530178,81.5235779447217
2005,79.1125037531852,76.7905449952405,81.2936952220949
2006,79.3845698137522,77.1081621949019,81.5448227754727
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,NA,NA,NA
2011,NA,NA,NA
2012,NA,NA,NA
2013,79.7657610998636,77.4846253906663,82.0187033879447
2014,79.9819750991314,77.9852850746302,81.934486883205
2015,NA,NA,NA
2016,79.5504349253499,77.1296706120798,81.9818825190138
2017,NA,NA,NA
2018,NA,NA,NA
2019,NA,NA,NA
