"Year","Total","Male","Female"
1999,76.7069368902962,73.9342642012713,79.2951926909421
2000,76.7699616760391,74.1808936778594,79.1842456022308
2001,77.0123932713983,74.5076549388005,79.3421011193341
2002,77.0926138906062,74.4968856078743,79.5265149424683
2003,77.0685352708654,74.4498434314119,79.5438751430009
2004,77.7392242207904,75.2552633474262,80.0538173020038
2005,77.7307793063925,75.3321381795992,79.9732762419671
2006,78.1243379666128,75.655116252945,80.4437767410521
2007,78.2445231238229,75.7930340027619,80.5510672184618
2008,78.4561575722118,76.1557308814323,80.6250547238572
2009,78.8700054147726,76.4743293315394,81.1244621414358
2010,79.1650318414262,76.7988746284714,81.3943008641344
2011,79.0456917726756,76.8146858968059,81.1523911103017
2012,79.2705805474362,76.9994345522653,81.4314218841907
2013,79.3650643008902,77.1569292817264,81.46734239867
2014,79.4787661400093,77.2862585286328,81.5732641439442
2015,79.3332615410028,77.0848136595339,81.517142425497
2016,79.3802942169375,77.0061825704443,81.6914336915338
2017,79.287382024784,76.9051776395812,81.6159174201882
2018,79.4561846958797,77.056399497997,81.8014188355176
2019,79.5768323873606,77.2344832516276,81.864763446937
