"Year","Total","Male","Female"
1999,78.0197204980963,75.5879116334529,80.3682024853575
2000,78.2427759089238,75.8531159605217,80.5545305064052
2001,78.2690840516629,76.0134574500886,80.4449794690025
2002,78.3043071249169,75.9006051720266,80.6385595348906
2003,78.4170646311158,76.1793156586382,80.5872904530313
2004,79.008555938219,76.7017828204905,81.2178275799103
2005,78.953413503811,76.7064569263446,81.1366316252794
2006,79.3895798199608,77.2376244288249,81.4725481553402
2007,79.3979992835109,77.2817715304052,81.4467909357065
2008,79.3380732712797,77.1811871754369,81.4420529853812
2009,79.7898668044888,77.6557723238902,81.8622431397413
2010,80.1874010816077,78.0120259671085,82.3040170199265
2011,80.0935223863465,77.9538838844912,82.1846374302928
2012,80.1973974651342,77.9184602246142,82.4480588290079
2013,80.2664874351589,78.1200373221769,82.3809246255768
2014,80.3112698001245,78.113706568632,82.489977593688
2015,80.0314977761361,77.9548164944112,82.1003454979964
2016,80.3443877741991,78.146085812937,82.5469222066995
2017,80.1333420102026,77.9004893398712,82.3870068861712
2018,80.4028569091427,78.2533423238695,82.5611234741611
2019,80.4586852464049,78.3108593346564,82.6165339030601
