"Year","Total","Male","Female"
1999,74.8195409972535,71.9626390718024,77.5799943953866
2000,74.7676346874945,72.0338770170569,77.4148809549536
2001,74.9584249486792,72.2594425690269,77.5931937854802
2002,74.677370588104,71.6795074274912,77.6699084800722
2003,74.7710084205381,72.0700935409733,77.4444883251269
2004,75.0862241824628,72.4572445351662,77.6662652859177
2005,75.1418355390713,72.4927149006546,77.7591374893745
2006,75.2353463991558,72.4428800301643,78.0444153150333
2007,75.0692138217119,72.2630100596049,77.9095630439758
2008,75.1483335085608,72.5905800631595,77.7231704737291
2009,75.1944038487837,72.5633084084848,77.8628743854517
2010,75.4787374032708,72.8809839672891,78.1251551426939
2011,75.0957597826327,72.4225125354524,77.8347932424511
2012,75.2240852839273,72.7456385482843,77.7669389572319
2013,75.3909821655201,72.9068749428773,77.9447906825834
2014,75.3350045873765,72.6426247636526,78.1230081612056
2015,75.1070074173902,72.6833668597417,77.609214071732
2016,74.8533497851742,72.1123683449318,77.7299118604439
2017,74.577318325064,72.0092906010737,77.2631369197013
2018,74.636204415256,71.9463094402268,77.4841152465117
2019,74.7302272899659,72.088203700676,77.5185371786928
