"Year","Total","Male","Female"
1999,77.6887689829356,74.8709812500138,80.4088914361706
2000,77.8979136565139,75.25172738466,80.4295481258282
2001,77.9578138024225,75.2914272144848,80.5224328682373
2002,78.036598019583,75.4030538837568,80.5640077610787
2003,78.4462467944956,75.8087080187086,80.9811324370852
2004,78.861064914968,76.308587515583,81.3008889948772
2005,78.6649680096925,76.1775383285741,81.0573860200111
2006,79.0721167778901,76.684927846725,81.3566425374433
2007,79.1465134155097,76.6689641935299,81.5556438472208
2008,79.287576313573,76.8938482673502,81.5990748003429
2009,79.821774667182,77.3194571376185,82.2413790687821
2010,79.6167857369592,77.2143248955644,81.957052074658
2011,79.4219529272765,77.1901693855619,81.6008354803351
2012,79.6733658242734,77.4518436261234,81.8330718153062
2013,79.4158689120935,77.1301035007309,81.6730752341109
2014,79.5610626386939,77.4131895489154,81.6826482154907
2015,79.4523696375573,77.1201988695475,81.786418217064
2016,79.2834179737529,77.0375157706359,81.523039160816
2017,79.2656882389832,76.7992676766491,81.7772764786715
2018,79.307186057961,76.9891187431583,81.6587532090594
2019,79.3564053348086,77.1093030654921,81.6304156010233
