"Year","Total","Male","Female"
1999,76.5007803589395,73.8680679446051,79.1977345168984
2000,77.1982709968195,75.1004005010578,79.2518219755347
2001,76.9194978649674,74.5718999113557,79.3113739375388
2002,76.5682237564144,74.2363145535378,78.9385891824992
2003,76.8603565157132,74.4083371113668,79.4110182130365
2004,77.781845144337,75.8079386614435,79.8156916694595
2005,77.6068138347799,75.1140908509282,80.1912820969859
2006,77.1805527405463,74.8460881415406,79.6174516608188
2007,77.488457749776,75.1290971993651,80.0003643210446
2008,77.9717759638836,75.8812961713275,80.1481829398593
2009,78.22707653535,75.9201393854893,80.6538128024461
2010,78.1551650312425,76.3863603005487,80.027133993928
2011,78.4725756353319,76.1897914437317,80.8909538489208
2012,78.5911321434158,76.4088528457396,80.9219622288073
2013,78.9202748697227,76.6682968238167,81.3128842729681
2014,78.5242040833089,76.3575536538512,80.8502752494122
2015,78.4613431553006,76.095592057158,81.0297657897617
2016,79.1124224617952,76.8766726996282,81.4917013769725
2017,79.3135267974631,77.1235954082153,81.636585759046
2018,NA,NA,NA
2019,78.534083405957,75.8673024576013,81.4653403693722
