"State","Gender","Age.Cohort","Fit.Bound","LE"
"United States","Female","< 1 year","fit","80.8797469999366"
"United States","Female","1-4 years","fit","80.2396553197368"
"United States","Female","5-14 years","fit","76.2955853444941"
"United States","Female","15-24 years","fit","66.3694147044331"
"United States","Female","25-34 years","fit","56.6370520984237"
"United States","Female","35-44 years","fit","47.0862237861571"
"United States","Female","45-54 years","fit","37.7557407707074"
"United States","Female","55-64 years","fit","28.8830120767475"
"United States","Female","65-74 years","fit","20.6914408255523"
"United States","Female","75-84 years","fit","13.1562824443345"
"United States","Female","85+ years","fit","7.47212971949668"
"United States","Female","< 1 year","lwr","80.4391900014927"
"United States","Female","1-4 years","lwr","79.8178381279479"
"United States","Female","5-14 years","lwr","75.8759202798051"
"United States","Female","15-24 years","lwr","65.9507952435602"
"United States","Female","25-34 years","lwr","56.2229597002816"
"United States","Female","35-44 years","lwr","46.68140743084"
"United States","Female","45-54 years","lwr","37.3588373989592"
"United States","Female","55-64 years","lwr","28.5044419812582"
"United States","Female","65-74 years","lwr","20.3147532041274"
"United States","Female","75-84 years","lwr","12.8267223264569"
"United States","Female","85+ years","lwr","7.20723773333836"
"United States","Female","< 1 year","upr","81.3096996675876"
"United States","Female","1-4 years","upr","80.6527668184986"
"United States","Female","5-14 years","upr","76.7067132003849"
"United States","Female","15-24 years","upr","66.7795293426761"
"United States","Female","25-34 years","upr","57.0428104223587"
"United States","Female","35-44 years","upr","47.4831424658731"
"United States","Female","45-54 years","upr","38.1449518175125"
"United States","Female","55-64 years","upr","29.2548025618864"
"United States","Female","65-74 years","upr","21.0609093561286"
"United States","Female","75-84 years","upr","13.481369540805"
"United States","Female","85+ years","upr","7.7370234204326"
"United States","Male","< 1 year","fit","75.2657238567576"
"United States","Male","1-4 years","fit","74.6582668512027"
"United States","Male","5-14 years","fit","70.7266145794069"
"United States","Male","15-24 years","fit","60.823909650092"
"United States","Male","25-34 years","fit","51.4875840274928"
"United States","Male","35-44 years","fit","42.4233110073356"
"United States","Male","45-54 years","fit","33.5762160227672"
"United States","Male","55-64 years","fit","25.2916825120347"
"United States","Male","65-74 years","fit","18.0036841404984"
"United States","Male","75-84 years","fit","11.4056347079724"
"United States","Male","85+ years","fit","6.66927968439267"
"United States","Male","< 1 year","lwr","74.833717093279"
"United States","Male","1-4 years","lwr","74.2452465852057"
"United States","Male","5-14 years","lwr","70.3161822801268"
"United States","Male","15-24 years","lwr","60.4147832085206"
"United States","Male","25-34 years","lwr","51.0908860656394"
"United States","Male","35-44 years","lwr","42.0447798837512"
"United States","Male","45-54 years","lwr","33.2123122073085"
"United States","Male","55-64 years","lwr","24.9540510430226"
"United States","Male","65-74 years","lwr","17.6712286996052"
"United States","Male","75-84 years","lwr","11.1437078311099"
"United States","Male","85+ years","lwr","6.46912145015756"
"United States","Male","< 1 year","upr","75.6857949662236"
"United States","Male","1-4 years","upr","75.0611565888955"
"United States","Male","5-14 years","upr","71.1271156423414"
"United States","Male","15-24 years","upr","61.2231404314102"
"United States","Male","25-34 years","upr","51.8748938826659"
"United States","Male","35-44 years","upr","42.7932396943898"
"United States","Male","45-54 years","upr","33.9319025950653"
"United States","Male","55-64 years","upr","25.6223891688179"
