"State","Gender","Age.Cohort","Fit.Bound","LE"
"United States","Female","< 1 year","fit","82.1183030866454"
"United States","Female","1-4 years","fit","81.4832499295945"
"United States","Female","5-14 years","fit","77.539738716987"
"United States","Female","15-24 years","fit","67.6140711879537"
"United States","Female","25-34 years","fit","57.8809426442755"
"United States","Female","35-44 years","fit","48.3233414652723"
"United States","Female","45-54 years","fit","38.9741583266494"
"United States","Female","55-64 years","fit","30.0558178868183"
"United States","Female","65-74 years","fit","21.7871204408178"
"United States","Female","75-84 years","fit","14.1428833095862"
"United States","Female","85+ years","fit","8.33424678000637"
"United States","Female","< 1 year","lwr","81.6738135674701"
"United States","Female","1-4 years","lwr","81.0577761907584"
"United States","Female","5-14 years","lwr","77.1164408674438"
"United States","Female","15-24 years","lwr","67.1918292263485"
"United States","Female","25-34 years","lwr","57.4632294804822"
"United States","Female","35-44 years","lwr","47.9147916260116"
"United States","Female","45-54 years","lwr","38.5733545439039"
"United States","Female","55-64 years","lwr","29.6727361572663"
"United States","Female","65-74 years","lwr","21.4065374222533"
"United States","Female","75-84 years","lwr","13.8069467216016"
"United States","Female","85+ years","lwr","8.05971507167455"
"United States","Female","< 1 year","upr","82.5527143952337"
"United States","Female","1-4 years","upr","81.900575207948"
"United States","Female","5-14 years","upr","77.9550589379342"
"United States","Female","15-24 years","upr","68.0283684241065"
"United States","Female","25-34 years","upr","58.2908843859608"
"United States","Female","35-44 years","upr","48.7245563633172"
"United States","Female","45-54 years","upr","39.3678391576977"
"United States","Female","55-64 years","upr","30.4325124824586"
"United States","Female","65-74 years","upr","22.1609665744775"
"United States","Female","75-84 years","upr","14.4746844962128"
"United States","Female","85+ years","upr","8.60877848833818"
"United States","Male","< 1 year","fit","76.6840200222162"
"United States","Male","1-4 years","fit","76.083147881894"
"United States","Male","5-14 years","fit","72.1524320888803"
"United States","Male","15-24 years","fit","62.2508233397494"
"United States","Male","25-34 years","fit","52.9232510677708"
"United States","Male","35-44 years","fit","43.8604134556152"
"United States","Male","45-54 years","fit","34.9865843175967"
"United States","Male","55-64 years","fit","26.6199118088802"
"United States","Male","65-74 years","fit","19.218482969388"
"United States","Male","75-84 years","fit","12.4621133511289"
"United States","Male","85+ years","fit","7.54095304514499"
"United States","Male","< 1 year","lwr","76.2542812066503"
