Ten-Year Age Groups,Year,Gender,Deaths,Population,Crude Rate
< 1 year,1999,Female,12291,1852123,663.6
< 1 year,1999,Male,15646,1943639,805
< 1 year,2000,Female,12317,1856631,663.4
< 1 year,2000,Male,15718,1949017,806.5
< 1 year,2001,Female,12091,1962905,616
< 1 year,2001,Male,15477,2049753,755.1
< 1 year,2002,Female,12317,1932939,637.2
< 1 year,2002,Male,15717,2018522,778.6
< 1 year,2003,Female,12123,1942634,624
< 1 year,2003,Male,15902,2033237,782.1
< 1 year,2004,Female,12218,1962216,622.7
< 1 year,2004,Male,15718,2052042,766
< 1 year,2005,Female,12422,1956682,634.9
< 1 year,2005,Male,16018,2047711,782.2
< 1 year,2006,Female,12547,1975919,635
< 1 year,2006,Male,15980,2065819,773.5
< 1 year,2007,Female,12845,2027181,633.6
< 1 year,2007,Male,16293,2120816,768.2
< 1 year,2008,Female,12390,2022889,612.5
< 1 year,2008,Male,15669,2109846,742.7
< 1 year,2009,Female,11589,1959169,591.5
< 1 year,2009,Male,14823,2044418,725
< 1 year,2010,Female,10884,1929877,564
< 1 year,2010,Male,13702,2014276,680.2
< 1 year,2011,Female,10658,1952827,545.8
< 1 year,2011,Male,13327,2043710,652.1
< 1 year,2012,Female,10490,1926339,544.6
< 1 year,2012,Male,13139,2016738,651.5
< 1 year,2013,Female,10321,1925056,536.1
< 1 year,2013,Male,13119,2016727,650.5
< 1 year,2014,Female,10329,1930493,535
< 1 year,2014,Male,12886,2017857,638.6
< 1 year,2015,Female,10447,1942904,537.7
< 1 year,2015,Male,13008,2035134,639.2
< 1 year,2016,Female,10294,1939667,530.7
< 1 year,2016,Male,12867,2030478,633.7
< 1 year,2017,Female,9867,1924145,512.8
< 1 year,2017,Male,12468,2015150,618.7
< 1 year,2018,Female,9399,1879703,500
< 1 year,2018,Male,12068,1968505,613.1
< 1 year,2019,Female,9247,1847935,500.4
< 1 year,2019,Male,11674,1935117,603.3
1-4 years,1999,Female,2274,7493614,30.3
1-4 years,1999,Male,2975,7846168,37.9
1-4 years,2000,Female,2155,7508434,28.7
1-4 years,2000,Male,2824,7861716,35.9
1-4 years,2001,Female,2208,7468536,29.6
1-4 years,2001,Male,2899,7817023,37.1
1-4 years,2002,Female,2052,7564711,27.1
1-4 years,2002,Male,2806,7913020,35.5
1-4 years,2003,Female,2139,7636693,28
1-4 years,2003,Male,2826,7979882,35.4
1-4 years,2004,Female,2136,7713175,27.7
1-4 years,2004,Male,2649,8058452,32.9
1-4 years,2005,Female,1991,7785123,25.6
1-4 years,2005,Male,2765,8127884,34
1-4 years,2006,Female,2090,7775092,26.9
1-4 years,2006,Male,2541,8122053,31.3
1-4 years,2007,Female,2069,7813088,26.5
1-4 years,2007,Male,2634,8164877,32.3
1-4 years,2008,Female,2037,7891294,25.8
1-4 years,2008,Male,2693,8247098,32.7
1-4 years,2009,Female,1955,7943260,24.6
1-4 years,2009,Male,2495,8297671,30.1
1-4 years,2010,Female,1856,7952058,23.3
1-4 years,2010,Male,2460,8305151,29.6
1-4 years,2011,Female,1841,7909731,23.3
1-4 years,2011,Male,2405,8255790,29.1
1-4 years,2012,Female,1823,7856870,23.2
1-4 years,2012,Male,2395,8199397,29.2
