"State","Gender","Age.Cohort","fit","lwr","upr"
"Alabama","Female","< 1 year","205.961904761904","148.593738567383","263.330070956426"
"Alabama","Female","1-4 years","34.4761904761905","19.1698997638102","49.7824811885707"
"Alabama","Female","5-14 years","44.8285714285714","27.3021207190384","62.3550221381044"
"Alabama","Female","15-24 years","169.938095238095","125.803910100279","214.07228037591"
"Alabama","Female","25-34 years","370.766666666667","323.658887459306","417.874445874029"
"Alabama","Female","35-44 years","674.414285714285","610.617729187084","738.210842241486"
"Alabama","Female","45-54 years","1622.91904761905","1350.59780789925","1895.24028733885"
"Alabama","Female","55-64 years","3337.70476190475","3226.52487025743","3448.88465355208"
"Alabama","Female","65-74 years","4752.18571428572","4117.46956553779","5386.90186303365"
"Alabama","Female","75-84 years","6345.20476190476","5871.23525036983","6819.17427343969"
"Alabama","Female","85+ years","8443.04285714285","8087.91819344262","8798.16752084307"
"Alabama","Male","< 1 year","247.657142857142","194.892320813848","300.421964900437"
"Alabama","Male","1-4 years","49.1333333333332","30.0851487143724","68.1815179522941"
"Alabama","Male","5-14 years","57.5714285714284","36.2376908142315","78.9051663286254"
"Alabama","Male","15-24 years","452.314285714287","329.097192695805","575.531378732769"
"Alabama","Male","25-34 years","799.990476190476","708.179609389441","891.801342991512"
"Alabama","Male","35-44 years","1020.48095238095","848.468656477339","1192.49324828456"
"Alabama","Male","45-54 years","2316.1619047619","1937.4806297736","2694.84317975021"
"Alabama","Male","55-64 years","5143.56666666668","4917.76150361336","5369.37182972"
"Alabama","Male","65-74 years","6376.87619047621","5545.08368554638","7208.66869540604"
"Alabama","Male","75-84 years","6476.99523809524","5968.52675243272","6985.46372375776"
"Alabama","Male","85+ years","4893.26190476189","4637.41844432115","5149.10536520263"
"Alabama","Total","< 1 year","453.619047619046","357.675662580707","549.562432657385"
"Alabama","Total","1-4 years","83.6095238095236","55.9919387198575","111.22710889919"
"Alabama","Total","5-14 years","102.400000000001","72.0570375318735","132.742962468128"
"Alabama","Total","15-24 years","622.252380952379","479.92019472061","764.584567184148"
"Alabama","Total","25-34 years","1170.75714285715","1073.71914733832","1267.79513837598"
"Alabama","Total","35-44 years","1694.89523809524","1500.40427286587","1889.38620332461"
"Alabama","Total","45-54 years","3939.08095238095","3313.02829098113","4565.13361378077"
"Alabama","Total","55-64 years","8481.27142857143","8193.74327449256","8768.7995826503"
"Alabama","Total","65-74 years","11129.061904762","9687.34415682058","12570.7796527034"
"Alabama","Total","75-84 years","12822.2","11908.2045700736","13736.1954299264"
"Alabama","Total","85+ years","13336.3047619048","12867.898079921","13804.7114438886"
"Alaska","Female","< 1 year","25.4142857142857","10.2547576899502","40.5738137386213"
"Alaska","Female","1-4 years","7.57619047619047","2.17109741886219","12.9812835335188"
"Alaska","Female","5-14 years","7.59047619047615","0.01","17.2261273436829"
"Alaska","Female","15-24 years","32.5714285714286","20.1994492455479","44.9434078973093"
"Alaska","Female","25-34 years","72.7952380952383","50.531018986907","95.0594572035697"
"Alaska","Female","35-44 years","72.3380952380951","49.1068762607953","95.5693142153949"
"Alaska","Female","45-54 years","175.647619047619","130.031703083774","221.263535011464"
"Alaska","Female","55-64 years","315.557142857146","267.200387866578","363.913897847714"
"Alaska","Female","65-74 years","376.976190476191","326.078390137706","427.873990814675"
"Alaska","Female","75-84 years","410.742857142857","357.211805344282","464.273908941432"
"Alaska","Female","85+ years","525.700000000001","481.580830177448","569.819169822553"
"Alaska","Male","< 1 year","33.4095238095238","18.218256237271","48.6007913817765"
"Alaska","Male","1-4 years","9.77142857142857","1.97570871886558","17.5671484239916"
"Alaska","Male","5-14 years","12.5571428571428","2.15855664600681","22.9557290682788"
"Alaska","Male","15-24 years","87.2142857142857","60.2691196553875","114.159451773184"
"Alaska","Male","25-34 years","142.466666666667","110.996850939423","173.936482393911"
"Alaska","Male","35-44 years","122.104761904762","88.6354123768003","155.574111432723"
"Alaska","Male","45-54 years","256.223809523809","192.668334028418","319.7792850192"
"Alaska","Male","55-64 years","558.633333333335","485.203096885813","632.063569780857"
"Alaska","Male","65-74 years","584.857142857141","503.108269120682","666.606016593601"
"Alaska","Male","75-84 years","504.833333333336","454.417583246816","555.249083419856"
"Alaska","Male","85+ years","364.733333333334","321.760673378757","407.70599328791"
