Age Group,State,Gender,Yearly July 1st Estimates,Population
< 1 year,Alabama,Female,1990,29036
< 1 year,Alabama,Female,1991,29344
< 1 year,Alabama,Female,1992,29492
< 1 year,Alabama,Female,1993,29013
< 1 year,Alabama,Female,1994,28573
< 1 year,Alabama,Female,1995,28330
< 1 year,Alabama,Female,1996,27966
< 1 year,Alabama,Female,1997,28472
< 1 year,Alabama,Female,1998,28467
< 1 year,Alabama,Female,1999,28712
< 1 year,Alabama,Female,2000,29143
< 1 year,Alabama,Female,2001,30131
< 1 year,Alabama,Female,2002,29134
< 1 year,Alabama,Female,2003,28339
< 1 year,Alabama,Female,2004,29033
< 1 year,Alabama,Female,2005,29212
< 1 year,Alabama,Female,2006,29848
< 1 year,Alabama,Female,2007,30948
< 1 year,Alabama,Female,2008,31542
< 1 year,Alabama,Female,2009,30462
< 1 year,Alabama,Female,2010,29115
< 1 year,Alabama,Female,2011,28723
< 1 year,Alabama,Female,2012,28787
< 1 year,Alabama,Female,2013,28220
< 1 year,Alabama,Female,2014,28606
< 1 year,Alabama,Female,2015,29090
< 1 year,Alabama,Female,2016,28978
< 1 year,Alabama,Female,2017,28759
< 1 year,Alabama,Female,2018,28311
< 1 year,Alabama,Female,2019,27821
< 1 year,Alabama,Male,1990,30741
< 1 year,Alabama,Male,1991,31015
< 1 year,Alabama,Male,1992,31083
< 1 year,Alabama,Male,1993,30687
< 1 year,Alabama,Male,1994,30138
< 1 year,Alabama,Male,1995,29818
< 1 year,Alabama,Male,1996,29405
< 1 year,Alabama,Male,1997,29887
< 1 year,Alabama,Male,1998,29910
< 1 year,Alabama,Male,1999,30075
< 1 year,Alabama,Male,2000,30474
< 1 year,Alabama,Male,2001,31406
< 1 year,Alabama,Male,2002,29829
< 1 year,Alabama,Male,2003,29682
< 1 year,Alabama,Male,2004,29894
< 1 year,Alabama,Male,2005,30212
< 1 year,Alabama,Male,2006,30975
< 1 year,Alabama,Male,2007,31959
< 1 year,Alabama,Male,2008,32274
