"State","Gender","Age.Cohort","fit","lwr","upr"
"Alabama","Female","< 1 year","27084.5089217296","25150.0270489353","29018.9907945239"
"Alabama","Female","1-4 years","116643.617040686","111850.41114677","121436.822934602"
"Alabama","Female","5-14 years","297252.840102171","292242.535467848","302263.144736494"
"Alabama","Female","15-24 years","308408.815727057","300010.047646422","316807.583807692"
"Alabama","Female","25-34 years","335386.564823937","325350.031678742","345423.097969132"
"Alabama","Female","35-44 years","313451.492939245","305324.600210299","321578.38566819"
"Alabama","Female","45-54 years","301404.40467068","291730.164545552","311078.644795809"
"Alabama","Female","55-64 years","341409.560007298","333730.925374531","349088.194640065"
"Alabama","Female","65-74 years","291123.247983945","281311.511191501","300934.984776388"
"Alabama","Female","75-84 years","148943.424667032","145214.411327156","152672.438006907"
"Alabama","Female","85+ years","63802.1346469622","60751.2682010305","66853.001092894"
"Alabama","Male","< 1 year","28336.9024630542","26527.2564506545","30146.5484754539"
"Alabama","Male","1-4 years","120189.602992155","115101.0028341","125278.20315021"
"Alabama","Male","5-14 years","309672.010253603","303882.665037759","315461.355469447"
"Alabama","Male","15-24 years","312753.17037037","304540.906148096","320965.434592645"
"Alabama","Male","25-34 years","327753.774165298","318389.581344521","337117.966986075"
"Alabama","Male","35-44 years","290908.762634556","283184.2529596","298633.272309511"
"Alabama","Male","45-54 years","283486.04729064","274723.24972858","292248.844852701"
"Alabama","Male","55-64 years","307463.868856048","299875.824823146","315051.91288895"
"Alabama","Male","65-74 years","246606.098011312","238662.866581144","254549.32944148"
"Alabama","Male","75-84 years","111299.504907864","109206.750086552","113392.259729175"
"Alabama","Male","85+ years","33538.3284802043","32279.1252605765","34797.5316998322"
"Alabama","Total","< 1 year","55421.4113847838","51716.0139647662","59126.8088048014"
"Alabama","Total","1-4 years","236833.220032841","226966.584098173","246699.855967508"
"Alabama","Total","5-14 years","606924.850355775","596175.800645628","617673.900065921"
"Alabama","Total","15-24 years","621161.986097428","604745.467198067","637578.504996788"
"Alabama","Total","25-34 years","663140.338989236","643833.753840969","682446.924137502"
"Alabama","Total","35-44 years","604360.2555738","588617.732962955","620102.778184646"
"Alabama","Total","45-54 years","584890.451961321","566556.172725919","603224.731196723"
"Alabama","Total","55-64 years","648873.428863346","633685.667903485","664061.189823207"
"Alabama","Total","65-74 years","537729.345995256","520008.223521176","555450.468469337"
"Alabama","Total","75-84 years","260242.929574895","254488.586911949","265997.272237842"
"Alabama","Total","85+ years","97340.4631271666","93085.0097937601","101595.916460573"
"Alaska","Female","< 1 year","4592.94457215837","4364.15604886431","4821.73309545242"
"Alaska","Female","1-4 years","20566.5834701697","18836.4667442679","22296.7001960714"
"Alaska","Female","5-14 years","51279.8258711914","48589.3207652147","53970.330977168"
"Alaska","Female","15-24 years","39908.9167305236","37995.6629873882","41822.170473659"
"Alaska","Female","25-34 years","58290.4584929757","53881.3149682689","62699.6020176826"
"Alaska","Female","35-44 years","49764.0254698048","47127.1319341117","52400.9190054978"
"Alaska","Female","45-54 years","35471.4255062945","32738.9832110598","38203.8678015292"
"Alaska","Female","55-64 years","44875.4775405948","42525.5761919516","47225.378889238"
"Alaska","Female","65-74 years","32652.3823389892","31793.4755734305","33511.289104548"
